"Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year","State"
"Marana PD",0,0,1,2,5,118,3,1,6,2022,"Arizona"
"Casa Grande PD",0,5,2,18,14,116,9,1,6,2022,"Arizona"
"Maricopa PD",0,0,0,3,2,27,2,0,6,2022,"Arizona"
"Yuma PD",0,4,0,50,32,73,18,1,6,2022,"Arizona"
"Flagstaff PD",0,3,2,10,29,138,4,0,7,2022,"Arizona"
"Avondale PD",0,3,4,21,28,187,24,2,7,2022,"Arizona"
"Buckeye PD",0,5,2,11,10,68,6,1,7,2022,"Arizona"
"Chandler PD",1,12,2,30,33,300,34,1,7,2022,"Arizona"
"Gilbert PD",0,4,1,19,26,212,17,1,7,2022,"Arizona"
"Glendale PD",1,9,23,79,107,601,120,2,7,2022,"Arizona"
"Goodyear PD",0,1,0,20,20,135,9,1,7,2022,"Arizona"
"Mesa PD",1,21,23,152,99,499,91,1,7,2022,"Arizona"
"Queen Creek Police Department",0,1,0,15,6,53,2,0,7,2022,"Arizona"
"Peoria PD",0,5,4,25,21,174,31,1,7,2022,"Arizona"
"Phoenix PD",20,93,301,820,513,NA,611,22,7,2022,"Arizona"
"Scottsdale PD",0,14,7,15,41,351,35,0,7,2022,"Arizona"
"Surprise PD",2,0,4,8,22,186,6,0,7,2022,"Arizona"
"Tempe PD",3,15,14,73,71,529,64,0,7,2022,"Arizona"
"Lake Havasu City PD",0,1,0,8,5,60,6,0,7,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,7,2022,"Arizona"
"Marana PD",0,0,1,6,3,78,4,1,7,2022,"Arizona"
"Casa Grande PD",1,3,3,26,14,103,10,0,7,2022,"Arizona"
"Maricopa PD",0,1,0,5,5,32,8,1,7,2022,"Arizona"
"Yuma PD",3,4,5,22,24,92,17,1,7,2022,"Arizona"
"Flagstaff PD",0,4,3,31,19,159,4,1,8,2022,"Arizona"
"Avondale PD",0,6,7,19,29,190,21,0,8,2022,"Arizona"
