"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"VA0210100","Chesterfield",NA,NA,NA,NA,NA,NA,NA,2026,4,"VA","County","Chesterfield,VA","Chesterfield,VA,County","County"
"OR0030000","Clackamas",NA,NA,NA,NA,NA,NA,NA,2026,4,"OR","County","Clackamas,OR","Clackamas,OR,County","County"
"OHCLP0000","Cleveland",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","City","Cleveland,OH","Cleveland,OH,City","City"
"NY0015300","Colonie Town",NA,NA,NA,NA,NA,NA,NA,2026,4,"NY","City","Colonie Town,NY","Colonie Town,NY,City","City"
"CO0010300","Commerce City",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Commerce City,CO","Commerce City,CO,City","City"
"CA0070400","Concord",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Concord,CA","Concord,CA,City","City"
"TX1780200","Corpus Christi",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","City","Corpus Christi,TX","Corpus Christi,TX,City","City"
"OR0020100","Corvallis",NA,NA,NA,NA,NA,NA,NA,2026,4,"OR","City","Corvallis,OR","Corvallis,OR,City","City"
"CT0003400","Danbury",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Danbury,CT","Danbury,CT,City","City"
"IL0162500","Des Plaines",NA,NA,NA,NA,NA,NA,NA,2026,4,"IL","City","Des Plaines,IL","Des Plaines,IL,City","City"
"LA0170000","East Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2026,4,"LA","County","East Baton Rouge,LA","East Baton Rouge,LA,County","County"
"CA0090000","El Dorado",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","County","El Dorado,CA","El Dorado,CA,County","County"
"OK0240100","Enid",NA,NA,NA,NA,NA,NA,NA,2026,4,"OK","City","Enid,OK","Enid,OK,City","City"
"IN0820100","Evansville",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Evansville,IN","Evansville,IN,City","City"
"MA0030800","Fall River",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Fall River,MA","Fall River,MA,City","City"
"NC0260100","Fayetteville",NA,NA,NA,NA,NA,NA,NA,2026,4,"NC","City","Fayetteville,NC","Fayetteville,NC,City","City"
"AZ0030100","Flagstaff",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","City","Flagstaff,AZ","Flagstaff,AZ,City","City"
"MO0953000","Florissant",NA,NA,NA,NA,NA,NA,NA,2026,4,"MO","City","Florissant,MO","Florissant,MO,City","City"
"CA0360400","Fontana",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Fontana,CA","Fontana,CA,City","City"
"IN0020100","Fort Wayne",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Fort Wayne,IN","Fort Wayne,IN,City","City"
"MA0091800","Framingham",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Framingham,MA","Framingham,MA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Fremont,CA","Fremont,CA,City","City"
"AZ0071300","Glendale",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","City","Glendale,AZ","Glendale,AZ,City","City"
"TX0571200","Grand Prairie",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","City","Grand Prairie,TX","Grand Prairie,TX,City","City"
"CO0620200","Greeley",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Greeley,CO","Greeley,CO,City","City"
"NC0410200","Greensboro",NA,NA,NA,NA,NA,NA,NA,2026,4,"NC","City","Greensboro,NC","Greensboro,NC,City","City"
"CT0005700","Greenwich",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Greenwich,CT","Greenwich,CT,City","City"
"NC0410000","Guilford",NA,NA,NA,NA,NA,NA,NA,2026,4,"NC","County","Guilford,NC","Guilford,NC,County","County"
"CT0006200","Hamden",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Hamden,CT","Hamden,CT,City","City"
"NJ0011200","Hamilton Township",NA,NA,NA,NA,NA,NA,NA,2026,4,"NJ","City","Hamilton Township,NJ","Hamilton Township,NJ,City","City"
"OH0310000","Hamilton",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","County","Hamilton,OH","Hamilton,OH,County","County"
"IN0450700","Hammond",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Hammond,IN","Hammond,IN,City","City"
"TX1010000","Harris",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","County","Harris,TX","Harris,TX,County","County"
"CT0006400","Hartford",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Hartford,CT","Hartford,CT,City","City"
"NY0290600","Hempstead Village",NA,NA,NA,NA,NA,NA,NA,2026,4,"NY","City","Hempstead Village,NY","Hempstead Village,NY,City","City"
"GA0750500","Henry",NA,NA,NA,NA,NA,NA,NA,2026,4,"GA","County","Henry,GA","Henry,GA,County","County"
"IN0100300","Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Jeffersonville,IN","Jeffersonville,IN,City","City"
"AR0160100","Jonesboro",NA,NA,NA,NA,NA,NA,NA,2026,4,"AR","City","Jonesboro,AR","Jonesboro,AR,City","City"
"MI4185000","Kentwood",NA,NA,NA,NA,NA,NA,NA,2026,4,"MI","City","Kentwood,MI","Kentwood,MI,City","City"
"TX0140400","Killeen",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","City","Killeen,TX","Killeen,TX,City","City"
"IN0340100","Kokomo",NA,NA,NA,NA,NA,NA,NA,2026,4,"IN","City","Kokomo,IN","Kokomo,IN,City","City"
"AZ0080400","Lake Havasu City",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","City","Lake Havasu City,AZ","Lake Havasu City,AZ,City","City"
"CO0300400","Lakewood",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Lakewood,CO","Lakewood,CO,City","City"
"OH0182600","Lakewood",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","City","Lakewood,OH","Lakewood,OH,City","City"
"MA0051300","Lawrence",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Lawrence,MA","Lawrence,MA,City","City"
"CA0010700","Livermore",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Livermore,CA","Livermore,CA,City","City"
"MI4714700","Livingston",NA,NA,NA,NA,NA,NA,NA,2026,4,"MI","County","Livingston,MI","Livingston,MI,County","County"
"CO0070400","Longmont",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Longmont,CO","Longmont,CO,City","City"
"CO0350400","Loveland",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Loveland,CO","Loveland,CO,City","City"
"MA0092600","Lowell",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Lowell,MA","Lowell,MA,City","City"
"TX1520200","Lubbock",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","City","Lubbock,TX","Lubbock,TX,City","City"
"MA0092700","Malden",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Malden,MA","Malden,MA,City","City"
"AZ0100900","Marana",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","City","Marana,AZ","Marana,AZ,City","City"
"GA0330300","Marietta",NA,NA,NA,NA,NA,NA,NA,2026,4,"GA","City","Marietta,GA","Marietta,GA,City","City"
"MA0093000","Medford",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Medford,MA","Medford,MA,City","City"
"CT0008000","Meriden",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Meriden,CT","Meriden,CT,City","City"
"CT0008400","Milford",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Milford,CT","Milford,CT,City","City"
"TX1700000","Montgomery",NA,NA,NA,NA,NA,NA,NA,2026,4,"TX","County","Montgomery,TX","Montgomery,TX,County","County"
"NY0590300","Mount Vernon",NA,NA,NA,NA,NA,NA,NA,2026,4,"NY","City","Mount Vernon,NY","Mount Vernon,NY,City","City"
"ID0140200","Nampa",NA,NA,NA,NA,NA,NA,NA,2026,4,"ID","City","Nampa,ID","Nampa,ID,City","City"
"NH0064600","Nashua",NA,NA,NA,NA,NA,NA,NA,2026,4,"NH","City","Nashua,NH","Nashua,NH,City","City"
"NY0290000","Nassau",NA,NA,NA,NA,NA,NA,NA,2026,4,"NY","County","Nassau,NY","Nassau,NY,County","County"
"CT0008900","New Britain",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","New Britain,CT","New Britain,CT,City","City"
"CT0009300","New Haven",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","New Haven,CT","New Haven,CT,City","City"
"OH0450100","Newark",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","City","Newark,OH","Newark,OH,City","City"
"VA1160000","Newport News",NA,NA,NA,NA,NA,NA,NA,2026,4,"VA","City","Newport News,VA","Newport News,VA,City","City"
"MA0093300","Newton",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Newton,MA","Newton,MA,City","City"
"VA1170000","Norfolk",NA,NA,NA,NA,NA,NA,NA,2026,4,"VA","City","Norfolk,VA","Norfolk,VA,City","City"
"OK0140200","Norman",NA,NA,NA,NA,NA,NA,NA,2026,4,"OK","City","Norman,OK","Norman,OK,City","City"
"NV0020200","North Las Vegas",NA,NA,NA,NA,NA,NA,NA,2026,4,"NV","City","North Las Vegas,NV","North Las Vegas,NV,City","City"
"CT0010300","Norwalk",NA,NA,NA,NA,NA,NA,NA,2026,4,"CT","City","Norwalk,CT","Norwalk,CT,City","City"
"MI7017000","Ottawa",NA,NA,NA,NA,NA,NA,NA,2026,4,"MI","County","Ottawa,MI","Ottawa,MI,County","County"
"KY0300100","Owensboro",NA,NA,NA,NA,NA,NA,NA,2026,4,"KY","City","Owensboro,KY","Owensboro,KY,City","City"
"CO0180500","Parker",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Parker,CO","Parker,CO,City","City"
"OH0184200","Parma",NA,NA,NA,NA,NA,NA,NA,2026,4,"OH","City","Parma,OH","Parma,OH,City","City"
"MA0052500","Peabody",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Peabody,MA","Peabody,MA,City","City"
"AZ0072100","Peoria",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","City","Peoria,AZ","Peoria,AZ,City","City"
"AZ0110000","Pinal",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","County","Pinal,AZ","Pinal,AZ,County","County"
"MA0022200","Pittsfield",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Pittsfield,MA","Pittsfield,MA,City","City"
"MA0122000","Plymouth",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Plymouth,MA","Plymouth,MA,City","City"
"AZ0131100","Prescott Valley",NA,NA,NA,NA,NA,NA,NA,2026,4,"AZ","City","Prescott Valley,AZ","Prescott Valley,AZ,City","City"
"RI0040900","Providence",NA,NA,NA,NA,NA,NA,NA,2026,4,"RI","City","Providence,RI","Providence,RI,City","City"
"UT0250600","Provo",NA,NA,NA,NA,NA,NA,NA,2026,4,"UT","City","Provo,UT","Provo,UT,City","City"
"CO0510100","Pueblo",NA,NA,NA,NA,NA,NA,NA,2026,4,"CO","City","Pueblo,CO","Pueblo,CO,City","City"
"SD0510100","Rapid City",NA,NA,NA,NA,NA,NA,NA,2026,4,"SD","City","Rapid City,SD","Rapid City,SD,City","City"
"CA0360800","Redlands",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","Redlands,CA","Redlands,CA,City","City"
"NV0160100","Reno",NA,NA,NA,NA,NA,NA,NA,2026,4,"NV","City","Reno,NV","Reno,NV,City","City"
"OR0240200","Salem",NA,NA,NA,NA,NA,NA,NA,2026,4,"OR","City","Salem,OR","Salem,OR,City","City"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
"CA0410000","San Mateo",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","County","San Mateo,CA","San Mateo,CA,County","County"
"UT0180500","Sandy",NA,NA,NA,NA,NA,NA,NA,2026,4,"UT","City","Sandy,UT","Sandy,UT,City","City"
"MA0093900","Somerville",NA,NA,NA,NA,NA,NA,NA,2026,4,"MA","City","Somerville,MA","Somerville,MA,City","City"
"CA0411700","South San Francisco",NA,NA,NA,NA,NA,NA,NA,2026,4,"CA","City","South San Francisco,CA","South San Francisco,CA,City","City"
"NV0160200","Sparks",NA,NA,NA,NA,NA,NA,NA,2026,4,"NV","City","Sparks,NV","Sparks,NV,City","City"
