"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","agency_type_name","population","State_ref"
"60","Cheyenne, WY","Cheyenne",0,4,2,4,19,135,11,2017,1,"WY",10,165,"Cheyenne","https://crimestats.wyo.gov/public/View/dispview.aspx","State UCR","Open Source",64610,64307,NA,NA,"","Cheyenne","WY","West","Mountain","City",64307,"WY"
"61","Chicago, IL","Chicago",54,163,1075,953,1274,4957,1173,2017,1,"IL",2245,7404,"Chicago","https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/explore/query/SELECT%0A%20%20%60id%60%2C%0A%20%20%60case_number%60%2C%0A%20%20%60date%60%2C%0A%20%20%60block%60%2C%0A%20%20%60iucr%60%2C%0A%20%20%60primary_type%60%2C%0A%20%20%60description%60%2C%0A%20%20%60location_description%60%2C%0A%20%20%60arrest%60%2C%0A%20%20%60domestic%60%2C%0A%20%20%60beat%60%2C%0A%20%20%60district%60%2C%0A%20%20%60ward%60%2C%0A%20%20%60community_area%60%2C%0A%20%20%60fbi_code%60%2C%0A%20%20%60x_coordinate%60%2C%0A%20%20%60y_coordinate%60%2C%0A%20%20%60year%60%2C%0A%20%20%60updated_on%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60location%60%2C%0A%20%20%60%3A%40computed_region_awaf_s7ux%60%2C%0A%20%20%60%3A%40computed_region_6mkv_f3dw%60%2C%0A%20%20%60%3A%40computed_region_vrxf_vc4k%60%2C%0A%20%20%60%3A%40computed_region_bdys_3d7i%60%2C%0A%20%20%60%3A%40computed_region_43wa_7qmu%60%2C%0A%20%20%60%3A%40computed_region_rpca_8um6%60%2C%0A%20%20%60%3A%40computed_region_d9mm_jgwp%60%2C%0A%20%20%60%3A%40computed_region_d3ds_rm58%60%2C%0A%20%20%60%3A%40computed_region_8hcu_yrd4%60%0AORDER%20BY%20%60date%60%20DESC%20NULL%20FIRST/page/filter","Agency RMS","Open Source",2652124,2628298,NA,NA,"","Chicago","IL","Midwest","East North Central","City",2628298,"IL"
"62","Chicopee, MA","Chicopee",0,3,1,11,9,58,4,2022,2,"MA",15,71,"Chicopee","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",55265,55043,NA,NA,"","Chicopee","MA","Northeast","New England","City",55043,"MA"
"63","Chula Vista, CA","Chula Vista",1,5,35,76,49,210,84,2022,3,"CA",117,343,"Chula Vista","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",277976,280748,NA,NA,"","Chula Vista","CA","West","Pacific","City",280748,"CA"
"64","Cicero, IL","Cicero",0,1,12,7,13,95,24,2017,1,"IL",20,132,"Cicero","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",81492,80455,NA,NA,"","Cicero","IL","Midwest","East North Central","City",80455,"IL"
"65","Cincinnati, OH","Cincinnati",2,9,40,74,145,581,153,2024,1,"OH",125,879,"Cincinnati","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",307761,309484,NA,NA,"","Cincinnati","OH","Midwest","East North Central","City",309484,"OH"
"66","Clarksville, TN","Clarksville",1,14,18,65,71,269,21,2017,1,"TN",98,361,"Clarksville","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",181916,181916,NA,NA,"","Clarksville","TN","South","East South Central","City",181916,"TN"
"67","Cleveland, OH","Cleveland",6,43,124,357,257,766,375,2024,4,"OH",530,1398,"Cleveland","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",363764,358146,NA,NA,"","Cleveland","OH","Midwest","East North Central","City",358146,"OH"
"68","Coeur D Alene, ID","Coeur D Alene",0,8,1,12,12,55,8,2018,9,"ID",21,75,"Coeur D Alene","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",57061,57653,NA,NA,"","Coeur d'Alene","ID","West","Mountain","City",57653,"ID"
"69","Colerain Township, OH","Colerain Township",0,1,2,7,8,50,7,2021,1,"OH",10,65,"Colerain Township","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",58548,58268,NA,NA,"","Colerain Township","OH","Midwest","East North Central","City",58268,"OH"
