"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Population","pop23","Violent Crime","Property Crime","agency_num"
"162","Marana, AZ","Marana",0,0,0,2,8,98,2,2020,10,"AZ",57119,"57718",2,108,1
"163","McAllen, TX","McAllen",0,2,5,7,13,268,1,2019,2,"TX",145510,"145684",14,282,1
"164","Mckinney, TX","Mckinney",0,6,7,11,13,115,11,2018,2,"TX",208415,"212716",24,139,1
"165","Memphis, TN","Memphis",30,25,197,587,506,2616,1586,2022,12,"TN",624944,"616061",839,4708,1
"166","Meridian, ID","Meridian",0,4,0,3,14,69,4,2017,5,"ID",132522,"135239",7,87,1
"167","Mesa, AZ","Mesa",2,21,20,140,87,513,73,2023,3,"AZ",513116,"515848",183,673,1
"168","Mesquite, TX","Mesquite",0,3,9,44,40,249,100,2023,1,"TX",147226,"147926",56,389,1
"169","Methuen, MA","Methuen",0,1,5,6,3,27,2,2021,9,"MA",52853,"53558",12,32,1
"170","Miami Beach, FL","Miami Beach",0,5,16,13,50,436,32,2018,11,"FL",89017,"78824",34,518,1
"171","Middletown, OH","Middletown",0,6,11,4,50,149,15,2017,3,"OH",50970,"51328",21,214,1
"172","Midland, TX","Midland",0,3,7,22,37,156,21,2017,1,"TX",129945,"135253",32,214,1
"173","Millcreek, PA","Millcreek",0,1,0,7,14,48,4,2017,6,"PA",53119,"53119",8,66,1
"174","Milwaukee, WI","Milwaukee",14,NA,NA,NA,NA,NA,NA,2017,7,"WI",561743,"558698",14,0,1
"175","Minneapolis, MN","Minneapolis",0,36,128,118,228,890,198,2017,2,"MN",421690,"422341",282,1316,1
"176","Minnetonka, MN","Minnetonka",0,0,1,0,19,51,2,2021,5,"MN",52309,"51791",1,72,1
"177","Mission, TX","Mission",0,0,0,0,0,0,0,2021,8,"TX",86577,"87031",0,0,1
"178","Missouri City, TX","Missouri City",0,0,3,3,8,41,1,2019,2,"TX",75323,"77560",6,50,1
"179","Moline, IL","Moline",0,6,3,15,26,72,11,2020,8,"IL",42009,"Not Found",24,109,1
"180","Mount Prospect, IL","Mount Prospect",0,1,2,0,0,44,5,2022,5,"IL",53932,"53932",3,49,1
"181","Mount Vernon, NY","Mount Vernon",0,3,7,30,23,77,6,2017,3,"NY",71690,"70812",40,106,1
"182","Nashville, TN","Nashville",11,NA,171,458,293,2046,217,2019,6,"TN",679562,"690495",640,2556,1
"183","National City, CA","National City",2,4,11,14,8,56,15,2017,6,"CA",55676,"55270",31,79,1
"184","New Bedford, MA","New Bedford",1,5,12,32,23,168,11,2019,8,"MA",101402,"100876",50,202,1
"185","New Braunfels, TX","New Braunfels",0,3,2,10,16,53,12,2017,11,"TX",107017,"111942",15,81,1
"186","New Britain, CT","New Britain",0,4,5,29,26,144,21,2020,8,"CT",73621,"74609",38,191,1
"187","New Orleans, LA","New Orleans",10,48,80,154,227,1222,280,2018,7,"LA",370128,"364197",292,1729,1
