"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","Source","city_state","city_state_id","Agency_Type"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,9,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,11,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,9,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2025,11,"IN","City","CDE","Jeffersonville,IN","Jeffersonville,IN,City","City"
"Terre Haute",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","City","CDE","Terre Haute,IN","Terre Haute,IN,City","City"
"Terre Haute",NA,NA,NA,NA,NA,NA,NA,2025,11,"IN","City","CDE","Terre Haute,IN","Terre Haute,IN,City","City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,5,"LA","City","Scrape","Baton Rouge,LA","Baton Rouge,LA,City","City"
"Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2025,6,"LA","City","Scrape","Baton Rouge,LA","Baton Rouge,LA,City","City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","City","Manual","Barnstable,MA","Barnstable,MA,City","City"
"Barnstable",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Barnstable,MA","Barnstable,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
"Brookline",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","City","Manual","Brookline,MA","Brookline,MA,City","City"
