"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state.y","Agency_Type.y","State"
"Baytown,TX,City","Baytown",1,7,5,19,61,177,26,2017,5,"TX","Baytown,TX","City",32,264,"Baytown","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83809,NA,NA,"","TX1010100","Baytown","TX","South","West South Central",83809,"Baytown, TX","City","South"
"Beaumont,TX,City","Beaumont",2,12,23,79,62,263,30,2022,4,"TX","Beaumont,TX","City",116,355,"Beaumont","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110671,NA,NA,"","TX1230100","Beaumont","TX","South","West South Central",110671,"Beaumont, TX","City","South"
"Bellevue,NE,City","Bellevue",0,3,0,1,9,41,11,2017,1,"NE","Bellevue,NE","City",4,61,"Bellevue","NE","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",62372,NA,NA,"","NB0770100","Bellevue","NE","Midwest","West North Central",62372,"Bellevue, NE","City","Midwest"
"Bellingham,WA,City","Bellingham",0,NA,7,NA,NA,273,17,2017,1,"WA","Bellingham,WA","City",7,290,"Bellingham","WA","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",94968,NA,NA,"","WA0370100","Bellingham","WA","West","Pacific",94968,"Bellingham, WA","City","West"
"Bethlehem,PA,City","Bethlehem",0,1,8,35,18,90,3,2017,1,"PA","Bethlehem,PA","City",44,111,"Bethlehem","PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",78606,NA,NA,"Inferred Dec 2019 from annual average","PA0480300","Bethlehem","PA","Northeast","Middle Atlantic",78606,"Bethlehem, PA","City","Northeast"
"Bismarck,ND,City","Bismarck",0,4,2,27,34,119,26,2017,1,"ND","Bismarck,ND","City",33,179,"Bismarck","ND","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","ND0080100","Bismarck","ND","Midwest","West North Central",74802,"Bismarck, ND","City","Midwest"
"Blaine,MN,City","Blaine",0,1,1,5,13,124,3,2017,1,"MN","Blaine,MN","City",7,140,"Blaine","MN","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","MN0020200","Blaine","MN","Midwest","West North Central",72384,"Blaine, MN","City","Midwest"
"Bloomington,MN,City","Bloomington",0,5,5,6,16,211,15,2017,1,"MN","Bloomington,MN","City",16,242,"Bloomington","MN","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","MN0270100","Bloomington","MN","Midwest","West North Central",86793,"Bloomington, MN","City","Midwest"
"Blue Springs,MO,City","Blue Springs",0,1,0,8,13,109,7,2017,1,"MO","Blue Springs,MO","City",9,129,"Blue Springs","MO","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","MO0480100","Blue Springs","MO","Midwest","West North Central",59896,"Blue Springs, MO","City","Midwest"
"Boise,ID,City","Boise",2,20,2,32,41,320,15,2017,1,"ID","Boise,ID","City",56,376,"Boise","ID","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",236949,NA,NA,"","ID0010100","Boise","ID","West","Mountain",236949,"Boise, ID","City","West"
"Bolingbrook,IL,City","Bolingbrook",0,0,2,11,7,56,10,2017,1,"IL","Bolingbrook,IL","City",13,73,"Bolingbrook","IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","IL0990200","Bolingbrook","IL","Midwest","East North Central",74138,"Bolingbrook, IL","City","Midwest"
"Boston,MA,City","Boston",5,34,152,219,169,940,131,2017,1,"MA","Boston,MA","City",410,1240,"Boston","MA","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",642823,NA,NA,"","MA0130100","Boston","MA","Northeast","New England",642823,"Boston, MA","City","Northeast"
"Boulder,CO,City","Boulder",0,3,5,17,34,197,29,2017,1,"CO","Boulder,CO","City",25,260,"Boulder","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104232,NA,NA,"","CO0070100","Boulder","CO","West","Mountain",104232,"Boulder, CO","City","West"
"Brazoria,TX,County","Brazoria",0,4,5,7,34,53,13,2017,1,"TX","Brazoria,TX","County",16,100,"Brazoria","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",132229,NA,NA,"","TX0200000","Brazoria","TX","South","West South Central",132229,"Brazoria, TX","County","South"
"Bridgeport,CT,City","Bridgeport",0,5,40,38,29,175,54,2017,11,"CT","Bridgeport,CT","City",83,258,"Bridgeport","CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148483,NA,NA,"","CT0001500","Bridgeport","CT","Northeast","New England",148483,"Bridgeport, CT","City","Northeast"
"Bristol,CT,City","Bristol",0,0,2,0,6,69,6,2019,9,"CT","Bristol,CT","City",2,81,"Bristol","CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",61609,NA,NA,"","CT0001700","Bristol","CT","Northeast","New England",61609,"Bristol, CT","City","Northeast"
"Brockton,MA,City","Brockton",2,10,12,53,37,132,20,2017,1,"MA","Brockton,MA","City",77,189,"Brockton","MA","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",108938,NA,NA,"","MA0120300","Brockton","MA","Northeast","New England",108938,"Brockton, MA","City","Northeast"
"Brooklyn Park,MN,City","Brooklyn Park",0,6,5,13,21,137,8,2017,1,"MN","Brooklyn Park,MN","City",24,166,"Brooklyn Park","MN","https://cde.state.mn.us/","State UCR","Open Source",81920,NA,NA,"","MN0270300","Brooklyn Park","MN","Midwest","West North Central",81920,"Brooklyn Park, MN","City","Midwest"
"Broomfield,CO,City","Broomfield",0,2,1,3,8,102,10,2017,1,"CO","Broomfield,CO","City",6,120,"Broomfield","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",77072,NA,NA,"","CO0640100","Broomfield","CO","West","Mountain",77072,"Broomfield, CO","City","West"
"Brownsville,TX,City","Brownsville",1,6,21,54,36,257,13,2020,12,"TX","Brownsville,TX","City",82,306,"Brownsville","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",190590,NA,NA,"","TX0310100","Brownsville","TX","South","West South Central",190590,"Brownsville, TX","City","South"
"Buckeye,AZ,City","Buckeye",1,5,1,4,19,80,6,2017,1,"AZ","Buckeye,AZ","City",11,105,"Buckeye","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",112048,NA,NA,"","AZ0070300","Buckeye","AZ","West","Mountain",112048,"Buckeye, AZ","City","West"
"Buffalo,NY,City","Buffalo",8,15,75,94,165,496,63,2017,1,"NY","Buffalo,NY","City",192,724,"Buffalo","NY","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data","Agency Aggregated","Open Source",275922,NA,NA,"","NY0140100","Buffalo","NY","Northeast","Middle Atlantic",275922,"Buffalo, NY","City","Northeast"
"Buncombe,NC,County","Buncombe",0,1,4,10,51,99,11,2017,1,"NC","Buncombe,NC","County",15,161,"Buncombe","NC","From NC","State UCR","Provided by State UCR Program",158547,NA,NA,"","NC0110000","Buncombe","NC","South","South Atlantic",158547,"Buncombe, NC","County","South"
"Burbank,CA,City","Burbank",0,0,7,13,33,247,27,2017,1,"CA","Burbank,CA","City",20,307,"Burbank","CA","https://www.burbankpd.org/crime-information/crime-statistics/","Agency Aggregated","Open Source",102345,NA,NA,"","CA0191200","Burbank","CA","West","Pacific",102345,"Burbank, CA","City","West"
"Burleson,TX,City","Burleson",0,4,1,11,4,39,5,2020,6,"TX","Burleson,TX","City",16,48,"Burleson","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",56307,NA,NA,"","TX1260200","Burleson","TX","South","West South Central",56307,"Burleson, TX","City","South"
"Burlington,NC,City","Burlington",0,2,8,42,33,130,6,2017,1,"NC","Burlington,NC","City",52,169,"Burlington","NC","From NC","State UCR","Provided by State UCR Program",60156,NA,NA,"","NC0010100","Burlington","NC","South","South Atlantic",60156,"Burlington, NC","City","South"
"Burnsville,MN,City","Burnsville",0,0,4,2,9,105,5,2017,1,"MN","Burnsville,MN","City",6,119,"Burnsville","MN","https://cde.state.mn.us/","State UCR","Open Source",63650,NA,NA,"","MN0190100","Burnsville","MN","Midwest","West North Central",63650,"Burnsville, MN","City","Midwest"
"Caldwell,ID,City","Caldwell",0,0,1,13,18,35,25,2017,1,"ID","Caldwell,ID","City",14,78,"Caldwell","ID","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68731,NA,NA,"","ID0140100","Caldwell","ID","West","Mountain",68731,"Caldwell, ID","City","West"
"Cambridge,MA,City","Cambridge",0,0,4,18,32,99,7,2017,1,"MA","Cambridge,MA","City",22,138,"Cambridge","MA","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",118960,NA,NA,"","MA0091100","Cambridge","MA","Northeast","New England",118960,"Cambridge, MA","City","Northeast"
"Canton Township,MI,City","Canton Township",0,4,2,18,6,35,6,2021,4,"MI","Canton Township,MI","City",24,47,"Canton Township","MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",98915,NA,NA,"","MI8290800","Canton Township","MI","Midwest","East North Central",98915,"Canton Township, MI","City","Midwest"
"Carlsbad,CA,City","Carlsbad",0,-1,4,13,13,107,4,2025,1,"CA","Carlsbad,CA","City",16,124,"Carlsbad","CA","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",113796,NA,NA,"","CA0370100","Carlsbad","CA","West","Pacific",113796,"Carlsbad, CA","City","West"
"Carrollton,TX,City","Carrollton",0,2,11,15,34,147,21,2019,7,"TX","Carrollton,TX","City",28,202,"Carrollton","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",134261,NA,NA,"Inferred Aug-Dec 2019 from annual average","TX0570400","Carrollton","TX","South","West South Central",134261,"Carrollton, TX","City","South"
"Cary,NC,City","Cary",0,3,10,8,26,122,4,2017,1,"NC","Cary,NC","City",21,152,"Cary","NC","From NC","State UCR","Provided by State UCR Program",182878,NA,NA,"","NC0920300","Cary","NC","South","South Atlantic",182878,"Cary, NC","City","South"
"Casa Grande,AZ,City","Casa Grande",0,2,4,15,16,96,9,2017,1,"AZ","Casa Grande,AZ","City",21,121,"Casa Grande","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",63228,NA,NA,"","AZ0110100","Casa Grande","AZ","West","Mountain",63228,"Casa Grande, AZ","City","West"
"Castle Rock,CO,City","Castle Rock",0,5,2,3,7,67,1,2017,1,"CO","Castle Rock,CO","City",10,75,"Castle Rock","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",83546,NA,NA,"","CO0180100","Castle Rock","CO","West","Mountain",83546,"Castle Rock, CO","City","West"
"Cedar Park,TX,City","Cedar Park",0,2,1,3,6,85,5,2022,6,"TX","Cedar Park,TX","City",6,96,"Cedar Park","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",77464,NA,NA,"","TX2460900","Cedar Park","TX","South","West South Central",77464,"Cedar Park, TX","City","South"
