"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Arlington,TX,City","Arlington",1,24,12,91,60,502,74,2025,2,"Arlington,TX","City",128,636,"Arlington","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",394799,NA,NA,"","","TX2200100","Arlington",NA,"South","West South Central","arlington","TX",399840,"city 250,000 thru 499,999",NA,NA,NA,NA,394799,"Arlington, TX","City","TX","TX"
"Arlington,VA,County","Arlington",0,8,6,16,8,171,14,2019,4,"Arlington,VA","County",30,193,"Arlington","From VA","State UCR","Provided by State UCR Program",231844,NA,NA,"","","VA0070100","Arlington",NA,"South","South Atlantic","arlington county pd","VA",234449,"msa-county 100,000+",NA,NA,NA,NA,231844,"Arlington, VA","County","VA","VA"
"Arvada,CO,City","Arvada",0,2,5,19,25,151,44,2025,1,"Arvada,CO","City",26,220,"Arvada","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",120200,NA,NA,"","","CO0300100","Arvada",NA,"West","Mountain","arvada","CO",117704,"city 100,000 thru 249,999",NA,NA,NA,NA,120200,"Arvada, CO","City","CO","CO"
"Asheville,NC,City","Asheville",1,2,3,40,38,215,24,2025,1,"Asheville,NC","City",46,277,"Asheville","From NC","State UCR","Provided by State UCR Program",93471,NA,NA,"","","NC0110100","Asheville",NA,"South","South Atlantic","asheville","NC",95219,"city 50,000 thru 99,999",NA,NA,NA,NA,93471,"Asheville, NC","City","NC","NC"
"Atlanta,GA,City","Atlanta",12,NA,130,145,317,1224,267,2017,1,"Atlanta,GA","City",287,1808,"Atlanta","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",500212,NA,NA,"","","GAAPD0000","Atlanta",NA,"South","South Atlantic","atlanta","GA",475865,"city 500,000 thru 999,999",NA,NA,NA,NA,500212,"Atlanta, GA","City","GA","GA"
"Aurora,CO,City","Aurora",3,17,43,213,135,571,256,2024,4,"Aurora,CO","City",276,962,"Aurora","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",396976,NA,NA,"","","CO0010100","Aurora",NA,"West","Mountain","aurora","CO",337365,"city 250,000 thru 499,999",NA,NA,NA,NA,396976,"Aurora, CO","City","CO","CO"
"Austin,TX,City","Austin",1,67,89,187,345,1829,168,2017,11,"Austin,TX","City",344,2342,"Austin","https://data.austintexas.gov/Public-Safety/Crime-Reports/fdj4-gpfu/explore/query/SELECT%0A%20%20%60incident_report_number%60%2C%0A%20%20%60crime_type%60%2C%0A%20%20%60ucr_code%60%2C%0A%20%20%60family_violence%60%2C%0A%20%20%60occ_date_time%60%2C%0A%20%20%60occ_date%60%2C%0A%20%20%60occ_time%60%2C%0A%20%20%60rep_date_time%60%2C%0A%20%20%60rep_date%60%2C%0A%20%20%60rep_time%60%2C%0A%20%20%60location_type%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60sector%60%2C%0A%20%20%60district%60%2C%0A%20%20%60clearance_status%60%2C%0A%20%20%60clearance_date%60%2C%0A%20%20%60ucr_category%60%2C%0A%20%20%60category_description%60%2C%0A%20%20%60census_block_group%60%0AWHERE%20caseless_ne%28%60ucr_category%60%2C%20%22%22%29/page/filter","Agency RMS","Open Source",978816,NA,NA,"","","TX2270100","Austin",NA,"South","West South Central","austin","TX",913699,"city 500,000 thru 999,999",NA,NA,NA,NA,978816,"Austin, TX","City","TX","TX"
"Bakersfield,CA,City","Bakersfield",1,4,61,74,285,967,284,2017,1,"Bakersfield,CA","City",140,1536,"Bakersfield","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",413409,NA,NA,"","","CA0150200","Bakersfield",NA,"West","Pacific","bakersfield","CA",416120,"city 250,000 thru 499,999",NA,NA,NA,NA,413409,"Bakersfield, CA","City","CA","CA"
"Baldwin Park,CA,City","Baldwin Park",0,0,1,11,14,45,11,2024,9,"Baldwin Park,CA","City",12,70,"Baldwin Park","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67791,NA,NA,"","","CA0190600","Baldwin Park",NA,"West","Pacific","baldwin park","CA",67791,"city 50,000 thru 99,999",NA,NA,NA,NA,68230,"Baldwin Park, CA","City","CA","CA"
"Baltimore,MD,City","Baltimore",32,31,586,580,736,1453,498,2017,1,"Baltimore,MD","City",1229,2687,"Baltimore","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",565192,NA,NA,"","","MDBPD0000","Baltimore",NA,"South","South Atlantic","baltimore","MD",566632,"city 500,000 thru 999,999",NA,NA,NA,NA,565192,"Baltimore, MD","City","MD","MD"
"Baltimore,MD,County","Baltimore",2,24,174,214,363,1473,189,2017,1,"Baltimore,MD","County",414,2025,"Baltimore","https://opendata.baltimorecountymd.gov/pages/dash","Agency Aggregated","Open Source",845222,NA,NA,"","","MD0030100","Baltimore",NA,"South","South Atlantic","baltimore county pol dep","MD",852726,"msa-county 100,000+",NA,NA,NA,NA,845222,"Baltimore, MD","County","MD","MD"
"Battle Creek,MI,City","Battle Creek",0,5,1,38,27,66,8,2020,3,"Battle Creek,MI","City",44,101,"Battle Creek","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",60969,NA,NA,"","","MI1323700","Battle Creek",NA,"Midwest","East North Central","battle creek","MI",61163,"city 50,000 thru 99,999",NA,NA,NA,NA,60969,"Battle Creek, MI","City","MI","MI"
"Baytown,TX,City","Baytown",0,5,6,17,44,188,20,2020,10,"Baytown,TX","City",28,252,"Baytown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83809,NA,NA,"","","TX1010100","Baytown",NA,"South","West South Central","baytown","TX",78692,"city 50,000 thru 99,999",NA,NA,NA,NA,83809,"Baytown, TX","City","TX","TX"
"Beaumont,TX,City","Beaumont",1,7,36,115,67,239,40,2020,9,"Beaumont,TX","City",159,346,"Beaumont","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110671,NA,NA,"","","TX1230100","Beaumont",NA,"South","West South Central","beaumont","TX",111320,"city 100,000 thru 249,999",NA,NA,NA,NA,110671,"Beaumont, TX","City","TX","TX"
"Bellevue,NE,City","Bellevue",0,2,1,0,3,50,6,2025,1,"Bellevue,NE","City",3,59,"Bellevue","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",62372,NA,NA,"","","NB0770100","Bellevue",NA,"Midwest","West North Central","bellevue","NE",63510,"city 50,000 thru 99,999",NA,NA,NA,NA,62372,"Bellevue, NE","City","NE","NE"
"Bellingham,WA,City","Bellingham",0,NA,7,NA,NA,273,17,2017,1,"Bellingham,WA","City",7,290,"Bellingham","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",94968,NA,NA,"","","WA0370100","Bellingham",NA,"West","Pacific","bellingham","WA",95717,"city 50,000 thru 99,999",NA,NA,NA,NA,94968,"Bellingham, WA","City","WA","WA"
"Bend,OR,City","Bend",0,4,3,6,28,158,12,2017,1,"Bend,OR","City",13,198,"Bend","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",105099,NA,NA,"","","OR0090100","Bend",NA,"West","Pacific","bend","OR",106241,"city 100,000 thru 249,999",NA,NA,NA,NA,105099,"Bend, OR","City","OR","OR"
"Bentonville,AR,City","Bentonville",0,2,1,14,6,44,3,2020,4,"Bentonville,AR","City",17,53,"Bentonville","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",61109,NA,NA,"","","AR0040100","Bentonville",NA,"South","West South Central","bentonville","AR",61109,"city 50,000 thru 99,999",NA,NA,NA,101,59465,"Bentonville, AR","City","AR","AR"
