"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Carlsbad",0,2,2,21,8,77,9,2025,4,"CA","Carlsbad,CA","City","Carlsbad,CA,City"
"Carmel",0,2,1,4,2,48,8,2025,3,"IN","Carmel,IN","City","Carmel,IN,City"
"Carrollton",0,1,1,7,14,75,8,2025,4,"TX","Carrollton,TX","City","Carrollton,TX,City"
"Cary",0,0,2,12,15,140,12,2025,4,"NC","Cary,NC","City","Cary,NC,City"
"Casa Grande",0,1,1,19,14,66,15,2025,4,"AZ","Casa Grande,AZ","City","Casa Grande,AZ,City"
"Castle Rock",0,0,0,1,0,43,0,2025,4,"CO","Castle Rock,CO","City","Castle Rock,CO,City"
"Cedar Park",0,1,0,6,6,66,2,2025,4,"TX","Cedar Park,TX","City","Cedar Park,TX,City"
"Cedar Rapids",1,0,2,18,23,72,4,2025,3,"IA","Cedar Rapids,IA","City","Cedar Rapids,IA,City"
"Centennial",0,2,1,14,21,110,11,2025,4,"CO","Centennial,CO","City","Centennial,CO,City"
"Champaign",0,8,4,24,23,109,14,2025,4,"IL","Champaign,IL","City","Champaign,IL,City"
"Chandler",0,5,2,14,19,241,17,2025,4,"AZ","Chandler,AZ","City","Chandler,AZ,City"
"Chapel Hill",0,1,0,6,13,64,7,2025,4,"NC","Chapel Hill,NC","City","Chapel Hill,NC,City"
"Charlotte",7,12,80,336,316,2091,469,2025,4,"NC","Charlotte,NC","City","Charlotte,NC,City"
"Chattanooga",1,10,10,101,47,437,61,2025,4,"TN","Chattanooga,TN","City","Chattanooga,TN,City"
"Chesapeake",0,10,2,55,25,264,24,2025,4,"VA","Chesapeake,VA","City","Chesapeake,VA,City"
"Chesterfield",0,9,7,42,26,295,34,2025,4,"VA","Chesterfield,VA","County","Chesterfield,VA,County"
"Cheyenne",0,3,2,12,19,96,9,2025,4,"WY","Cheyenne,WY","City","Cheyenne,WY,City"
"Chicago",21,137,428,1200,478,3925,1315,2025,4,"IL","Chicago,IL","City","Chicago,IL,City"
"Chicopee",0,2,4,16,8,46,2,2025,4,"MA","Chicopee,MA","City","Chicopee,MA,City"
"Chula Vista",0,2,22,79,18,172,59,2025,4,"CA","Chula Vista,CA","City","Chula Vista,CA,City"
"Cicero",0,1,1,6,3,21,8,2025,4,"IL","Cicero,IL","City","Cicero,IL,City"
"Cincinnati",3,9,52,134,137,622,158,2025,4,"OH","Cincinnati,OH","City","Cincinnati,OH,City"
"Clackamas",0,3,7,16,23,179,24,2025,4,"OR","Clackamas,OR","County","Clackamas,OR,County"
"Cleveland",NA,NA,NA,NA,NA,NA,NA,2025,4,"OH","Cleveland,OH","City","Cleveland,OH,City"
"Clinton Township",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Clinton Township,MI","City","Clinton Township,MI,City"
"Coeur D Alene",0,2,1,7,2,30,2,2025,4,"ID","Coeur D Alene,ID","City","Coeur D Alene,ID,City"
"Colerain Township",0,1,0,7,5,65,8,2025,4,"OH","Colerain Township,OH","City","Colerain Township,OH,City"
"College Station",0,11,2,6,13,48,3,2025,4,"TX","College Station,TX","City","College Station,TX,City"
"Colorado Springs",2,33,19,209,180,838,235,2025,4,"CO","Colorado Springs,CO","City","Colorado Springs,CO,City"
"Columbia",0,3,2,46,16,152,11,2025,4,"MO","Columbia,MO","City","Columbia,MO,City"
"Columbus",4,57,49,98,281,1248,466,2025,4,"OH","Columbus,OH","City","Columbus,OH,City"
"Commerce City",0,9,3,36,16,83,29,2025,4,"CO","Commerce City,CO","City","Commerce City,CO,City"
"Concord",1,1,14,51,33,238,47,2025,4,"CA","Concord,CA","City","Concord,CA,City"
"Concord",1,1,2,13,7,73,19,2025,4,"NC","Concord,NC","City","Concord,NC,City"
