"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"MA0092700","Malden",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Malden,MA","Malden,MA,City","City"
"CT0007700","Manchester",NA,NA,NA,NA,NA,NA,NA,2026,2,"CT","City","Manchester,CT","Manchester,CT,City","City"
"CA0390300","Manteca",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Manteca,CA","Manteca,CA,City","City"
"AZ0100900","Marana",NA,1,1,1,2,52,2,2026,2,"AZ","City","Marana,AZ","Marana,AZ,City","City"
"GA0330300","Marietta",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","City","Marietta,GA","Marietta,GA,City","City"
"MA0093000","Medford",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Medford,MA","Medford,MA,City","City"
"CA0240600","Merced",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Merced,CA","Merced,CA,City","City"
"CT0008000","Meriden",NA,NA,NA,NA,NA,NA,NA,2026,2,"CT","City","Meriden,CT","Meriden,CT,City","City"
"FL0130600","Miami",NA,NA,NA,NA,NA,NA,NA,2026,2,"FL","City","Miami,FL","Miami,FL,City","City"
"OK0550400","Midwest City",NA,NA,NA,NA,NA,NA,NA,2026,2,"OK","City","Midwest City,OK","Midwest City,OK,City","City"
"CA0270000","Monterey",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","County","Monterey,CA","Monterey,CA,County","County"
"OK0140100","Moore",NA,NA,NA,NA,NA,NA,NA,2026,2,"OK","City","Moore,OK","Moore,OK,City","City"
"SC0100300","Mount Pleasant",NA,NA,NA,NA,NA,NA,NA,2026,2,"SC","City","Mount Pleasant,SC","Mount Pleasant,SC,City","City"
"NY0590300","Mount Vernon",NA,NA,NA,NA,NA,NA,NA,2026,2,"NY","City","Mount Vernon,NY","Mount Vernon,NY,City","City"
"IN0180100","Muncie",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Muncie,IN","Muncie,IN,City","City"
"ID0140200","Nampa",NA,NA,NA,NA,NA,NA,NA,2026,2,"ID","City","Nampa,ID","Nampa,ID,City","City"
"NH0064600","Nashua",NA,NA,NA,NA,NA,NA,NA,2026,2,"NH","City","Nashua,NH","Nashua,NH,City","City"
"NY0290000","Nassau",NA,NA,NA,NA,NA,NA,NA,2026,2,"NY","County","Nassau,NY","Nassau,NY,County","County"
"CA0370900","National City",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","National City,CA","National City,CA,City","City"
"CT0009300","New Haven",NA,NA,NA,NA,NA,NA,NA,2026,2,"CT","City","New Haven,CT","New Haven,CT,City","City"
"LANPD0000","New Orleans",NA,NA,NA,NA,NA,NA,NA,2026,2,"LA","City","New Orleans,LA","New Orleans,LA,City","City"
"NY0590400","New Rochelle",NA,NA,NA,NA,NA,NA,NA,2026,2,"NY","City","New Rochelle,NY","New Rochelle,NY,City","City"
"NJNPD0000","Newark",NA,NA,NA,NA,NA,NA,NA,2026,2,"NJ","City","Newark,NJ","Newark,NJ,City","City"
"OH0450100","Newark",NA,NA,NA,NA,NA,NA,NA,2026,2,"OH","City","Newark,OH","Newark,OH,City","City"
"VA1160000","Newport News",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Newport News,VA","Newport News,VA,City","City"
"MA0093300","Newton",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Newton,MA","Newton,MA,City","City"
"IN0290200","Noblesville",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Noblesville,IN","Noblesville,IN,City","City"
"VA1170000","Norfolk",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Norfolk,VA","Norfolk,VA,City","City"
"IL0570200","Normal",NA,NA,NA,NA,NA,NA,NA,2026,2,"IL","City","Normal,IL","Normal,IL,City","City"
"OK0140200","Norman",NA,NA,NA,NA,NA,NA,NA,2026,2,"OK","City","Norman,OK","Norman,OK,City","City"
"SC0100800","North Charleston",NA,NA,NA,NA,NA,NA,NA,2026,2,"SC","City","North Charleston,SC","North Charleston,SC,City","City"
"NV0020200","North Las Vegas",NA,NA,NA,NA,NA,NA,NA,2026,2,"NV","City","North Las Vegas,NV","North Las Vegas,NV,City","City"
"AR0600300","North Little Rock",NA,NA,NA,NA,NA,NA,NA,2026,2,"AR","City","North Little Rock,AR","North Little Rock,AR,City","City"
"CT0010300","Norwalk",NA,NA,NA,NA,NA,NA,NA,2026,2,"CT","City","Norwalk,CT","Norwalk,CT,City","City"
"CA0210600","Novato",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Novato,CA","Novato,CA,City","City"
"CA0371000","Oceanside",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Oceanside,CA","Oceanside,CA,City","City"
"UT0290100","Ogden",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Ogden,UT","Ogden,UT,City","City"
"OK0550600","Oklahoma City",NA,NA,NA,NA,NA,NA,NA,2026,2,"OK","City","Oklahoma City,OK","Oklahoma City,OK,City","City"
"NC0670000","Onslow",NA,NA,NA,NA,NA,NA,NA,2026,2,"NC","County","Onslow,NC","Onslow,NC,County","County"
"UT0250300","Orem",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Orem,UT","Orem,UT,City","City"
"MI7017000","Ottawa",NA,NA,NA,NA,NA,NA,NA,2026,2,"MI","County","Ottawa,MI","Ottawa,MI,County","County"
"KY0300100","Owensboro",NA,NA,NA,NA,NA,NA,NA,2026,2,"KY","City","Owensboro,KY","Owensboro,KY,City","City"
"CA0560400","Oxnard",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Oxnard,CA","Oxnard,CA,City","City"
"OH0184200","Parma",NA,NA,NA,NA,NA,NA,NA,2026,2,"OH","City","Parma,OH","Parma,OH,City","City"
"CA0195300","Pasadena",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Pasadena,CA","Pasadena,CA,City","City"
"NJ0160800","Paterson",NA,NA,NA,NA,NA,NA,NA,2026,2,"NJ","City","Paterson,NJ","Paterson,NJ,City","City"
"GA1100000","Paulding",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","County","Paulding,GA","Paulding,GA,County","County"
"MA0052500","Peabody",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Peabody,MA","Peabody,MA,City","City"
"AZ0072100","Peoria",NA,NA,NA,NA,NA,NA,NA,2026,2,"AZ","City","Peoria,AZ","Peoria,AZ,City","City"
"AZ0110000","Pinal",NA,1,1,13,7,40,11,2026,2,"AZ","County","Pinal,AZ","Pinal,AZ,County","County"
"CA0310000","Placer",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","County","Placer,CA","Placer,CA,County","County"
"CA0011100","Pleasanton",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Pleasanton,CA","Pleasanton,CA,City","City"
"ID0030200","Pocatello",NA,NA,NA,NA,NA,NA,NA,2026,2,"ID","City","Pocatello,ID","Pocatello,ID,City","City"
"CA0195500","Pomona",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Pomona,CA","Pomona,CA,City","City"
"MI631900X","Pontiac",NA,NA,NA,NA,NA,NA,NA,2026,2,"MI","City","Pontiac,MI","Pontiac,MI,City","City"
