"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state_id","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Glendale, CA","Glendale",0,2,4,8,25,211,23,2018,3,"CA","Glendale, CA,City",14,259,"Glendale","https://www.glendaleca.gov/government/departments/police-department/community-outreach-resources-and-engagement-c-o-r-e/crime-prevention-programs-resources/crime-statistics-booking-logs","Agency Aggregated","Open Source",188599,185923,NA,NA,"","Glendale","CA","West","Pacific",185923
"Goodyear, AZ","Goodyear",0,1,4,13,39,188,16,2017,7,"AZ","Goodyear, AZ,City",18,243,"Goodyear","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",107212,109929,NA,NA,"","Goodyear","AZ","West","Mountain",109929
"Grand Island, NE","Grand Island",0,0,0,10,5,44,5,2021,1,"NE","Grand Island, NE,City",10,54,"Grand Island","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",51733,52264,NA,NA,"","Grand Island","NE","Midwest","West North Central",52264
"Grand Prairie, TX","Grand Prairie",0,7,8,15,39,225,51,2019,3,"TX","Grand Prairie, TX,City",30,315,"Grand Prairie","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",199663,205487,NA,NA,"","Grand Prairie","TX","South","West South Central",205487
"Grand Rapids, MI","Grand Rapids",3,6,19,156,73,303,73,2017,4,"MI","Grand Rapids, MI,City",184,449,"Grand Rapids","https://grpd-grandrapids.hub.arcgis.com/","Agency RMS","Open Source",196662,196019,NA,NA,"","Grand Rapids","MI","Midwest","East North Central",196019
"Grapevine, TX","Grapevine",0,2,3,8,8,86,11,2020,12,"TX","Grapevine, TX,City",13,105,"Grapevine","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",50988,51458,NA,NA,"","Grapevine","TX","South","West South Central",51458
"Greensboro, NC","Greensboro",5,5,51,132,174,706,71,2018,6,"NC","Greensboro, NC,City",193,951,"Greensboro","https://data.greensboro-nc.gov/pages/385998aa22e940999b05b6c3b6dcad03","Agency Aggregated","Provided by Agency",298719,303237,NA,NA,"","Greensboro","NC","South","South Atlantic",303237
"Greenwich, CT","Greenwich",0,0,0,0,3,29,8,2024,9,"CT","Greenwich, CT,City",0,40,"Greenwich","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",63631,63777,NA,NA,"","Greenwich","CT","Northeast","New England",63777
"Hampton, VA","Hampton",2,3,18,21,66,399,40,2017,10,"VA","Hampton, VA,City",44,505,"Hampton","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",138843,138533,NA,NA,"","Hampton","VA","South","South Atlantic",138533
"Hanover, VA","Hanover",0,5,0,13,4,69,6,2023,2,"VA","Hanover, VA,County",18,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harlingen, TX","Harlingen",0,1,4,11,17,101,30,2023,11,"TX","Harlingen, TX,City",16,148,"Harlingen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",72047,71581,NA,NA,"","Harlingen","TX","South","West South Central",71581
"Harris, TX","Harris",8,54,202,505,615,2463,454,2017,10,"TX","Harris, TX,County",769,3532,"Harris","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",2057899,2057899,NA,NA,"","Harris","TX","South","West South Central",2057899
"Harrisburg, PA","Harrisburg",1,4,7,34,18,60,14,2020,7,"PA","Harrisburg, PA,City",46,92,"Harrisburg","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",50201,50229,NA,NA,"","Harrisburg","PA","Northeast","Middle Atlantic",50229
"Harrisonburg, VA","Harrisonburg",0,3,0,2,1,71,2,2019,1,"VA","Harrisonburg, VA,City",5,74,"Harrisonburg","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",51363,50928,NA,NA,"","Harrisonburg","VA","South","South Atlantic",50928
"Hartford, CT","Hartford",2,3,13,32,32,160,67,2022,9,"CT","Hartford, CT,City",50,259,"Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",120196,120710,NA,NA,"","Hartford","CT","Northeast","New England",120710
"Haverford, PA","Haverford",0,1,0,1,4,46,1,2018,6,"PA","Haverford, PA,City",2,51,"Haverford","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",50505,50505,NA,NA,"","Haverford Township","PA","Northeast","Middle Atlantic",50505
"Hays, TX","Hays",0,3,3,11,2,38,10,2023,1,"TX","Hays, TX,County",17,50,"Hays","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",130433,130433,NA,NA,"","Hays","TX","South","West South Central",130433
"Henderson, NV","Henderson",1,4,21,33,52,273,40,2020,3,"NV","Henderson, NV,City",59,365,"Henderson","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",325332,337794,NA,NA,"","Henderson","NV","West","Mountain",337794
"Henrico, VA","Henrico",2,5,8,38,44,448,68,2023,2,"VA","Henrico, VA,County",53,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hidalgo, TX","Hidalgo",0,14,5,66,49,94,33,2024,10,"TX","Hidalgo, TX,County",85,176,"Hidalgo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",260352,260352,NA,NA,"","Hidalgo","TX","South","West South Central",260352
"Honolulu, HI","Honolulu",0,NA,68,85,408,1777,458,2020,12,"HI","Honolulu, HI,City",153,2643,"Honolulu","https://www.honolulupd.org/dashboard/crime-by-category/","Agency Aggregated","Open Source",994799,987546,NA,NA,"","Honolulu","HI","West","Pacific",987546
"Houston, TX","Houston",15,89,766,1185,1796,5341,1124,2017,8,"TX","Houston, TX,City",2055,8261,"Houston","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",2276533,2304406,NA,NA,"","Houston","TX","South","West South Central",2304406
"Idaho Falls, ID","Idaho Falls",0,3,2,11,23,61,13,2017,3,"ID","Idaho Falls, ID,City",16,97,"Idaho Falls","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68162,68662,NA,NA,"","Idaho Falls","ID","West","Mountain",68662
"Independence, MO","Independence",0,16,6,24,61,281,84,2020,1,"MO","Independence, MO,City",46,426,"Independence","https://showmecrime.mo.gov/","State UCR","Open Source",121255,120326,NA,NA,"","Independence","MO","Midwest","West North Central",120326
"Indianapolis, IN","Indianapolis",9,56,248,559,529,1621,395,2019,1,"IN","Indianapolis, IN,City",872,2545,"Indianapolis","https://www.indy.gov/agency/indianapolis-metropolitan-police-department","Agency Aggregated","Provided by Agency",886455,887131,NA,NA,"","Indianapolis","IN","Midwest","East North Central",887131
"Irving, TX","Irving",0,11,10,35,51,368,127,2023,9,"TX","Irving, TX,City",56,546,"Irving","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",254141,255203,NA,NA,"","Irving","TX","South","West South Central",255203
"Jackson, MI","Jackson",0,3,10,19,18,90,4,2017,1,"MI","Jackson, MI,City",32,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson Parish, LA","Jefferson Parish",6,2,47,79,135,696,74,2017,1,"LA","Jefferson Parish, LA,County",134,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, MO","Jefferson",0,0,1,23,30,64,25,2021,3,"MO","Jefferson, MO,County",24,119,"Jefferson","https://showmecrime.mo.gov/","State UCR","Open Source",167018,167018,NA,NA,"","Jefferson","MO","Midwest","West North Central",167018
"Joplin, MO","Joplin",1,2,5,16,35,198,26,2018,6,"MO","Joplin, MO,City",24,259,"Joplin","https://showmecrime.mo.gov/","State UCR","Open Source",51989,52881,NA,NA,"","Joplin","MO","Midwest","West North Central",52881
"Kalamazoo, MI","Kalamazoo",0,0,0,0,0,0,0,2021,3,"MI","Kalamazoo, MI,County",0,0,"Kalamazoo","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",108458,108458,NA,NA,"","Kalamazoo","MI","Midwest","East North Central",108458
"Kansas City, MO","Kansas City",17,46,158,612,391,1088,319,2017,5,"MO","Kansas City, MO,City",833,1798,"Kansas City","https://showmecrime.mo.gov/","State UCR","Open Source",508856,509855,NA,NA,"","Kansas City","MO","Midwest","West North Central",509855
"Kaufman, TX","Kaufman",0,3,0,6,27,24,7,2017,4,"TX","Kaufman, TX,County",9,58,"Kaufman","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",111179,111179,NA,NA,"","Kaufman","TX","South","West South Central",111179
"Killeen, TX","Killeen",0,12,12,29,88,178,20,2019,4,"TX","Killeen, TX,City",53,286,"Killeen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",159546,161968,NA,NA,"","Killeen","TX","South","West South Central",161968
"Kyle, TX","Kyle",0,0,2,3,5,39,3,2017,5,"TX","Kyle, TX,City",5,47,"Kyle","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",57724,63931,NA,NA,"","Kyle","TX","South","West South Central",63931
"La Mesa, CA","La Mesa",0,0,9,7,10,64,9,2022,9,"CA","La Mesa, CA,City",16,83,"La Mesa","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",60333,60008,NA,NA,"","La Mesa","CA","West","Pacific",60008
"Lake Havasu City, AZ","Lake Havasu City",1,0,0,2,7,46,0,2018,1,"AZ","Lake Havasu City, AZ,City",3,53,"Lake Havasu City","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",59166,59720,NA,NA,"","Lake Havasu City","AZ","West","Mountain",59720
"Lancaster, PA","Lancaster",0,3,3,21,7,71,7,2021,4,"PA","Lancaster, PA,City",27,85,"Lancaster","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",57295,57213,NA,NA,"","Lancaster","PA","Northeast","Middle Atlantic",57213
"Laredo, TX","Laredo",0,8,4,51,70,455,16,2018,7,"TX","Laredo, TX,City",63,541,"Laredo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",256973,256542,NA,NA,"","Laredo","TX","South","West South Central",256542
"Las Vegas, NV","Las Vegas",7,NA,168,459,975,2457,591,2019,8,"NV","Las Vegas, NV,City",634,4023,"Las Vegas","https://nevadacrimestats.nv.gov/public/View/dispview.aspx","State UCR","Open Source",1667961,1670226,NA,NA,"","Las Vegas Metropolitan Police Department","NV","West","Mountain",1670226
"League City, TX","League City",1,5,0,3,8,67,8,2021,6,"TX","League City, TX,City",9,83,"League City","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",116511,115791,NA,NA,"","League City","TX","South","West South Central",115791
"Lee's Summit, MO","Lee's Summit",0,0,2,10,5,131,14,2025,1,"MO","Lee's Summit, MO,City",12,150,"Lee's Summit","https://showmecrime.mo.gov/","State UCR","Open Source",103976,104402,NA,NA,"","Lee's Summit","MO","Midwest","West North Central",104402
"Lewisville, TX","Lewisville",0,3,5,11,25,140,20,2019,5,"TX","Lewisville, TX,City",19,185,"Lewisville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",113568,133694,NA,NA,"","Lewisville","TX","South","West South Central",133694
"Lexington, KY","Lexington",1,15,21,49,94,602,83,2021,9,"KY","Lexington, KY,City",86,779,"Lexington","https://www.lexingtonky.gov/crime-data","Agency Aggregated","Open Source",320983,319994,NA,NA,"","Lexington","KY","South","East South Central",319994
"Lincoln, NE","Lincoln",0,24,13,75,88,583,42,2018,6,"NE","Lincoln, NE,City",112,713,"Lincoln","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",293937,293155,NA,NA,"","Lincoln","NE","Midwest","West North Central",293155
"Little Elm, TX","Little Elm",0,4,0,3,1,20,3,2023,8,"TX","Little Elm, TX,City",7,24,"Little Elm","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55340,59954,NA,NA,"","Little Elm","TX","South","West South Central",59954
"Little Rock, AR","Little Rock",3,14,55,231,173,858,119,2017,1,"AR","Little Rock, AR,City",303,1150,"Little Rock","https://www.littlerock.gov/media/21988/part-i-offenses-by-month.pdf","Agency Aggregated","Open Source",201513,202986,NA,NA,"","Little Rock","AR","South","West South Central",202986
"Long Beach, CA","Long Beach",5,30,95,158,263,616,308,2024,6,"CA","Long Beach, CA,City",288,1187,"Long Beach","https://www.longbeach.gov/police/crime-info/crime-statistics/","Agency Aggregated","Open Source",447528,444415,NA,NA,"","Long Beach","CA","West","Pacific",444415
"Longview, TX","Longview",1,6,2,14,15,134,17,2024,3,"TX","Longview, TX,City",23,166,"Longview","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",81811,82981,NA,NA,"","Longview","TX","South","West South Central",82981
"Los Angeles, CA","Los Angeles",22,NA,NA,NA,NA,NA,NA,2017,5,"CA","Los Angeles, CA,City",22,0,"Los Angeles","https://www.lapdonline.org/","Agency Aggregated","Provided by Agency",3809182,3786018,NA,NA,"","Los Angeles","CA","West","Pacific",3786018
"Los Angeles, CA","Los Angeles",12,18,340,598,824,2638,1350,2024,2,"CA","Los Angeles, CA,County",968,4812,"Los Angeles","https://lasd.org/transparency/part1and2crimedata/#part1","Agency Aggregated","Open Source",1008018,1008018,NA,NA,"","Los Angeles","CA","West","Pacific",1008018
"Louisville, KY","Louisville",9,22,114,264,330,1646,317,2019,9,"KY","Louisville, KY,City",409,2293,"Louisville","https://data.louisvilleky.gov/search?tags=lmpd","Agency RMS","Open Source",677554,669468,NA,NA,"","Louisville Metro","KY","South","East South Central",669468
