"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Arlington,TX,City","TX2200100","Arlington",3,43,44,79,159,755,106,2017,1,"City","Arlington,TX","City",169,1020,"Arlington","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",394799,NA,NA,"","","TX2200100","Arlington",NA,"South","West South Central","arlington","TX",399840,"city 250,000 thru 499,999",NA,NA,NA,NA,394799,"Arlington, TX","City","TX","TX"
"Arvada,CO,City","CO0300100","Arvada",0,8,7,10,19,225,29,2017,1,"City","Arvada,CO","City",25,273,"Arvada","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",120200,NA,NA,"","","CO0300100","Arvada",NA,"West","Mountain","arvada","CO",117704,"city 100,000 thru 249,999",NA,NA,NA,NA,120200,"Arvada, CO","City","CO","CO"
"Asheville,NC,City","NC0110100","Asheville",2,5,16,24,52,245,24,2017,1,"City","Asheville,NC","City",47,321,"Asheville","From NC","State UCR","Provided by State UCR Program",93471,NA,NA,"","","NC0110100","Asheville",NA,"South","South Atlantic","asheville","NC",95219,"city 50,000 thru 99,999",NA,NA,NA,NA,93471,"Asheville, NC","City","NC","NC"
"Atlanta,GA,City","GAAPD0000","Atlanta",12,NA,130,145,317,1224,267,2017,1,"City","Atlanta,GA","City",287,1808,"Atlanta","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",500212,NA,NA,"","","GAAPD0000","Atlanta",NA,"South","South Atlantic","atlanta","GA",475865,"city 500,000 thru 999,999",NA,NA,NA,NA,500212,"Atlanta, GA","City","GA","GA"
"Aurora,CO,City","CO0010100","Aurora",0,1,3,17,26,181,28,2017,1,"City","Aurora,CO","City",21,235,"Aurora","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",396976,NA,NA,"","","CO0010100","Aurora",NA,"West","Mountain","aurora","CO",337365,"city 250,000 thru 499,999",NA,NA,NA,NA,396976,"Aurora, CO","City","CO","CO"
"Austin,TX,City","TX2270100","Austin",1,67,69,180,414,2165,177,2017,1,"City","Austin,TX","City",317,2756,"Austin","https://data.austintexas.gov/Public-Safety/Crime-Reports/fdj4-gpfu/explore/query/SELECT%0A%20%20%60incident_report_number%60%2C%0A%20%20%60crime_type%60%2C%0A%20%20%60ucr_code%60%2C%0A%20%20%60family_violence%60%2C%0A%20%20%60occ_date_time%60%2C%0A%20%20%60occ_date%60%2C%0A%20%20%60occ_time%60%2C%0A%20%20%60rep_date_time%60%2C%0A%20%20%60rep_date%60%2C%0A%20%20%60rep_time%60%2C%0A%20%20%60location_type%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60sector%60%2C%0A%20%20%60district%60%2C%0A%20%20%60clearance_status%60%2C%0A%20%20%60clearance_date%60%2C%0A%20%20%60ucr_category%60%2C%0A%20%20%60category_description%60%2C%0A%20%20%60census_block_group%60%0AWHERE%20caseless_ne%28%60ucr_category%60%2C%20%22%22%29/page/filter","Agency RMS","Open Source",978816,NA,NA,"","","TX2270100","Austin",NA,"South","West South Central","austin","TX",913699,"city 500,000 thru 999,999",NA,NA,NA,NA,978816,"Austin, TX","City","TX","TX"
"Avondale,AZ,City","AZ0070100","Avondale",0,4,8,12,50,208,17,2017,1,"City","Avondale,AZ","City",24,275,"Avondale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",92661,NA,NA,"","","AZ0070100","Avondale",NA,"West","Mountain","avondale","AZ",94911,"city 50,000 thru 99,999",NA,NA,NA,NA,92661,"Avondale, AZ","City","AZ","AZ"
"Bakersfield,CA,City","CA0150200","Bakersfield",1,4,61,74,285,967,284,2017,1,"City","Bakersfield,CA","City",140,1536,"Bakersfield","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",413409,NA,NA,"","","CA0150200","Bakersfield",NA,"West","Pacific","bakersfield","CA",416120,"city 250,000 thru 499,999",NA,NA,NA,NA,413409,"Bakersfield, CA","City","CA","CA"
"Baldwin Park,CA,City","CA0190600","Baldwin Park",0,4,8,16,37,77,30,2017,1,"City","Baldwin Park,CA","City",28,144,"Baldwin Park","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67791,NA,NA,"","","CA0190600","Baldwin Park",NA,"West","Pacific","baldwin park","CA",67791,"city 50,000 thru 99,999",NA,NA,NA,NA,68230,"Baldwin Park, CA","City","CA","CA"
"Baltimore,MD,City","MDBPD0000","Baltimore",32,31,586,580,736,1453,498,2017,1,"City","Baltimore,MD","City",1229,2687,"Baltimore","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",565192,NA,NA,"","","MDBPD0000","Baltimore",NA,"South","South Atlantic","baltimore","MD",566632,"city 500,000 thru 999,999",NA,NA,NA,NA,565192,"Baltimore, MD","City","MD","MD"
