"city_state_id","Agency Name","Month","Year","vio_crime","prop_crime","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Agency","State","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state","Agency_Type","State_ref"
"Buckeye,AZ,City","Buckeye",1,2017,11,105,1,5,1,4,19,80,6,"Buckeye","West","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",112048,NA,NA,"","AZ0070300","Buckeye","AZ","West","Mountain",112048,"Buckeye,AZ","City","AZ"
"Buffalo,NY,City","Buffalo",1,2017,192,724,8,15,75,94,165,496,63,"Buffalo","Northeast","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data","Agency Aggregated","Open Source",275922,NA,NA,"","NY0140100","Buffalo","NY","Northeast","Middle Atlantic",275922,"Buffalo,NY","City","NY"
"Buncombe,NC,County","Buncombe",2,2025,21,100,0,3,2,16,29,62,9,"Buncombe","South","From NC","State UCR","Provided by Agency",158547,NA,NA,"","NC0110000","Buncombe","NC","South","South Atlantic",158547,"Buncombe,NC","County","NC"
"Burbank,CA,City","Burbank",1,2017,20,307,0,0,7,13,33,247,27,"Burbank","West","https://www.burbankpd.org/crime-information/crime-statistics/","Agency Aggregated","Open Source",102345,NA,NA,"","CA0191200","Burbank","CA","West","Pacific",102345,"Burbank,CA","City","CA"
"Burleson,TX,City","Burleson",1,2017,7,67,1,1,0,5,9,48,10,"Burleson","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",56307,NA,NA,"","TX1260200","Burleson","TX","South","West South Central",56307,"Burleson,TX","City","TX"
"Burlington,NC,City","Burlington",5,2020,54,185,1,4,4,45,36,126,23,"Burlington","South","From NC","State UCR","Provided by Agency",60156,NA,NA,"","NC0010100","Burlington","NC","South","South Atlantic",60156,"Burlington,NC","City","NC"
"Burnsville,MN,City","Burnsville",1,2017,6,119,0,0,4,2,9,105,5,"Burnsville","Midwest","https://cde.state.mn.us/","State UCR","Open Source",63650,NA,NA,"","MN0190100","Burnsville","MN","Midwest","West North Central",63650,"Burnsville,MN","City","MN"
"Cambridge,MA,City","Cambridge",1,2017,22,138,0,0,4,18,32,99,7,"Cambridge","Northeast","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",118960,NA,NA,"","MA0091100","Cambridge","MA","Northeast","New England",118960,"Cambridge,MA","City","MA"
"Canton Township,MI,City","Canton Township",1,2017,10,79,0,3,2,5,7,69,3,"Canton Township","Midwest","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",98915,NA,NA,"","MI8290800","Canton Township","MI","Midwest","East North Central",98915,"Canton Township,MI","City","MI"
"Canton,OH,City","Canton",1,2017,52,317,0,12,9,31,83,213,21,"Canton","Midwest","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",69164,NA,NA,"","OH0760400","Canton","OH","Midwest","East North Central",69164,"Canton,OH","City","OH"
"Carlsbad,CA,City","Carlsbad",1,2025,16,124,0,-1,4,13,13,107,4,"Carlsbad","West","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",113796,NA,NA,"","CA0370100","Carlsbad","CA","West","Pacific",113796,"Carlsbad,CA","City","CA"
"Carrollton,TX,City","Carrollton",1,2017,11,185,0,2,5,4,28,139,18,"Carrollton","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",134261,NA,NA,"Inferred Aug-Dec 2019 from annual average","TX0570400","Carrollton","TX","South","West South Central",134261,"Carrollton,TX","City","TX"
"Cary,NC,City","Cary",7,2020,8,119,0,1,1,6,10,97,12,"Cary","South","From NC","State UCR","Provided by Agency",182878,NA,NA,"","NC0920300","Cary","NC","South","South Atlantic",182878,"Cary,NC","City","NC"
"Casa Grande,AZ,City","Casa Grande",1,2017,21,121,0,2,4,15,16,96,9,"Casa Grande","West","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",63228,NA,NA,"","AZ0110100","Casa Grande","AZ","West","Mountain",63228,"Casa Grande,AZ","City","AZ"
"Castle Rock,CO,City","Castle Rock",1,2017,10,75,0,5,2,3,7,67,1,"Castle Rock","West","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",83546,NA,NA,"","CO0180100","Castle Rock","CO","West","Mountain",83546,"Castle Rock,CO","City","CO"
"Cedar Park,TX,City","Cedar Park",1,2017,8,70,0,4,1,3,9,60,1,"Cedar Park","South","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",77464,NA,NA,"","TX2460900","Cedar Park","TX","South","West South Central",77464,"Cedar Park,TX","City","TX"
"Centennial,CO,City","Centennial",1,2017,9,156,0,2,1,6,19,118,19,"Centennial","West","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104724,NA,NA,"","CO0031100","Centennial","CO","West","Mountain",104724,"Centennial,CO","City","CO"
"Champaign,IL,City","Champaign",1,2017,53,259,0,5,12,36,66,177,16,"Champaign","Midwest","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",89687,NA,NA,"","IL0100100","Champaign","IL","Midwest","East North Central",89687,"Champaign,IL","City","IL"
"Chandler,AZ,City","Chandler",1,2017,41,533,0,8,15,18,61,423,49,"Chandler","West","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",282419,NA,NA,"","AZ0070500","Chandler","AZ","West","Mountain",282419,"Chandler,AZ","City","AZ"
"Chapel Hill,NC,City","Chapel Hill",1,2020,14,78,0,1,4,9,14,62,2,"Chapel Hill","South","From NC","State UCR","Provided by Agency",65066,NA,NA,"","NC0680100","Chapel Hill","NC","South","South Atlantic",65066,"Chapel Hill,NC","City","NC"
"Charlotte,NC,City","Charlotte",1,2020,513,2996,6,25,178,304,455,2290,251,"Charlotte","South","From NC","State UCR","Provided by Agency",979304,NA,NA,"","NC0600100","Charlotte","NC","South","South Atlantic",979304,"Charlotte,NC","City","NC"
"Chattanooga,TN,City","Chattanooga",1,2017,143,803,1,9,47,86,139,584,80,"Chattanooga","South","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",185370,NA,NA,"","TN0330100","Chattanooga","TN","South","East South Central",185370,"Chattanooga,TN","City","TN"
"Chesapeake,VA,City","Chesapeake",1,2017,90,446,2,9,25,54,56,367,23,"Chesapeake","South","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",254051,NA,NA,"","VA1030000","Chesapeake","VA","South","South Atlantic",254051,"Chesapeake,VA","City","VA"
"Chesterfield,VA,County","Chesterfield",1,2017,39,513,0,14,14,11,83,412,18,"Chesterfield","South","From VA","State UCR","From VA",385204,NA,NA,"","VA0210100","Chesterfield","VA","South","South Atlantic",385204,"Chesterfield,VA","County","VA"
"Cheyenne,WY,City","Cheyenne",1,2017,10,165,0,4,2,4,19,135,11,"Cheyenne","West","https://crimestats.wyo.gov/public/View/dispview.aspx","State UCR","Open Source",64307,NA,NA,"","WY0110100","Cheyenne","WY","West","Mountain",64307,"Cheyenne,WY","City","WY"
"Chicago,IL,City","Chicago",1,2017,2245,7404,54,163,1075,953,1274,4957,1173,"Chicago","Midwest","https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/explore/query/SELECT%0A%20%20%60id%60%2C%0A%20%20%60case_number%60%2C%0A%20%20%60date%60%2C%0A%20%20%60block%60%2C%0A%20%20%60iucr%60%2C%0A%20%20%60primary_type%60%2C%0A%20%20%60description%60%2C%0A%20%20%60location_description%60%2C%0A%20%20%60arrest%60%2C%0A%20%20%60domestic%60%2C%0A%20%20%60beat%60%2C%0A%20%20%60district%60%2C%0A%20%20%60ward%60%2C%0A%20%20%60community_area%60%2C%0A%20%20%60fbi_code%60%2C%0A%20%20%60x_coordinate%60%2C%0A%20%20%60y_coordinate%60%2C%0A%20%20%60year%60%2C%0A%20%20%60updated_on%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60location%60%2C%0A%20%20%60%3A%40computed_region_awaf_s7ux%60%2C%0A%20%20%60%3A%40computed_region_6mkv_f3dw%60%2C%0A%20%20%60%3A%40computed_region_vrxf_vc4k%60%2C%0A%20%20%60%3A%40computed_region_bdys_3d7i%60%2C%0A%20%20%60%3A%40computed_region_43wa_7qmu%60%2C%0A%20%20%60%3A%40computed_region_rpca_8um6%60%2C%0A%20%20%60%3A%40computed_region_d9mm_jgwp%60%2C%0A%20%20%60%3A%40computed_region_d3ds_rm58%60%2C%0A%20%20%60%3A%40computed_region_8hcu_yrd4%60%0AORDER%20BY%20%60date%60%20DESC%20NULL%20FIRST/page/filter","Agency RMS","Open Source",2628298,NA,NA,"","ILCPD0000","Chicago","IL","Midwest","East North Central",2628298,"Chicago,IL","City","IL"
