"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","population","population_1","pop_diff","city_state.y","Agency_Type.y","State_ref","State"
"Fort Collins,CO,City","CO0350300","Fort Collins",0,4,2,14,46,266,22,2017,1,"City","Fort Collins,CO","City",20,334,"Fort Collins","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",168886,NA,NA,"","","CO0350300","Fort Collins",NA,"West","Mountain",168886,171159,-2273,"Fort Collins, CO","City","CO","CO"
"Fort Smith,AR,City","AR0660100","Fort Smith",1,5,6,49,70,270,32,2017,1,"City","Fort Smith,AR","City",61,372,"Fort Smith","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",89977,NA,NA,"","","AR0660100","Fort Smith",NA,"South","West South Central",90417,90848,-431,"Fort Smith, AR","City","AR","AR"
"Fort Worth,TX,City","TX2201200","Fort Worth",10,71,154,231,449,1568,229,2017,1,"City","Fort Worth,TX","City",466,2246,"Fort Worth","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",973722,NA,NA,"","","TX2201200","Fort Worth",NA,"South","West South Central",973722,1009136,-35414,"Fort Worth, TX","City","TX","TX"
"Fountain Valley,CA,City","CA0300700","Fountain Valley",0,0,4,2,15,109,13,2017,1,"City","Fountain Valley,CA","City",6,137,"Fountain Valley","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",55419,NA,NA,"","","CA0300700","Fountain Valley",NA,"West","Pacific",55419,55805,-386,"Fountain Valley, CA","City","CA","CA"
"Franklin,TN,City","TN0940100","Franklin",0,3,2,14,6,86,3,2017,1,"City","Franklin,TN","City",19,95,"Franklin","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Crime Data Explorer","Open Source",88315,NA,NA,"","","TN0940100","Franklin",NA,"South","East South Central",88315,90436,-2121,"Franklin, TN","City","TN","TN"
"Fresno,CA,City","CA0100500","Fresno",4,16,90,164,381,1272,291,2017,1,"City","Fresno,CA","City",274,1944,"Fresno","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",546722,NA,NA,"","","CA0100500","Fresno",NA,"West","Pacific",547134,551969,-4835,"Fresno, CA","City","CA","CA"
"Frisco,TX,City","TX0430400","Frisco",0,5,4,6,39,153,2,2017,1,"City","Frisco,TX","City",15,194,"Frisco","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",228527,NA,NA,"","","TX0430400","Frisco",NA,"South","West South Central",228527,145026,83501,"Frisco, TX","City","TX","TX"
"Fullerton,CA,City","CA0300800","Fullerton",0,1,4,16,40,259,45,2017,1,"City","Fullerton,CA","City",21,344,"Fullerton","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",139131,NA,NA,"","","CA0300800","Fullerton",NA,"West","Pacific",139131,139237,-106,"Fullerton, CA","City","CA","CA"
"Galveston,TX,City","TX0840400","Galveston",0,6,5,4,36,87,8,2017,1,"City","Galveston,TX","City",15,131,"Galveston","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",52810,NA,NA,"","","TX0840400","Galveston",NA,"South","West South Central",52810,53510,-700,"Galveston, TX","City","TX","TX"
"Gardena,CA,City","CA0192400","Gardena",0,1,19,10,32,55,27,2017,1,"City","Gardena,CA","City",30,114,"Gardena","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",57584,NA,NA,"","","CA0192400","Gardena",NA,"West","Pacific",57853,58456,-603,"Gardena, CA","City","CA","CA"
