"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","X.1","X.2","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state.y","Agency_Type.y","State"
"Delaware,OH,County","Delaware",0,0,1,6,26,96,7,2017,1,"OH","Delaware,OH","County",7,129,"Delaware","OH","From OH","State UCR","Provided by State UCR Program",104939,NA,NA,"","","",NA,"OH0210000","Delaware","OH","Midwest","East North Central",104939,"Delaware, OH","County","Midwest"
"Denton,TX,City","Denton",0,12,3,21,51,170,20,2017,1,"TX","Denton,TX","City",36,241,"Denton","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",155215,NA,NA,"","","",NA,"TX0610200","Denton","TX","South","West South Central",155215,"Denton, TX","City","South"
"Denton,TX,County","Denton",0,1,0,4,9,24,5,2017,1,"TX","Denton,TX","County",5,38,"Denton","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",160587,NA,NA,"","","",NA,"TX0610000","Denton","TX","South","West South Central",160587,"Denton, TX","County","South"
"Denver,CO,City","Denver",5,68,113,214,334,1252,410,2017,1,"CO","Denver,CO","City",400,1996,"Denver","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",712222,NA,NA,"","","",NA,"CODPD0000","Denver","CO","West","Mountain",712222,"Denver, CO","City","West"
"Desoto,TX,City","Desoto",1,6,9,10,39,97,21,2017,1,"TX","Desoto,TX","City",26,157,"Desoto","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",56257,NA,NA,"","","",NA,"TX0570800","Desoto","TX","South","West South Central",56257,"Desoto, TX","City","South"
"Detroit,MI,City","Detroit",22,65,229,557,772,1059,739,2017,1,"MI","Detroit,MI","City",873,2570,"Detroit","MI","https://data.detroitmi.gov/datasets/rms-crime-incidents","Agency RMS","Open Source",615501,NA,NA,"","","",NA,"MI8234900","Detroit","MI","Midwest","East North Central",615501,"Detroit, MI","City","Midwest"
"Douglas,CO,County","Douglas",1,26,1,10,43,133,23,2017,1,"CO","Douglas,CO","County",38,199,"Douglas","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",219477,NA,NA,"","","",NA,"CO0180000","Douglas","CO","West","Mountain",219477,"Douglas, CO","County","West"
"Draper,UT,City","Draper",0,0,1,5,9,93,29,2017,1,"UT","Draper,UT","City",6,131,"Draper","UT","https://bci.utah.gov/crime-in-utah-dashboards/","State UCR","Open Source",50588,NA,NA,"","","",NA,"UT0181200","Draper","UT","West","Mountain",50588,"Draper, UT","City","West"
"Dublin,OH,City","Dublin",0,0,0,2,8,37,1,2017,1,"OH","Dublin,OH","City",2,46,"Dublin","OH","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48827,NA,NA,"","","",NA,"OH0250300","Dublin","OH","Midwest","East North Central",48827,"Dublin, OH","City","Midwest"
"Duluth,MN,City","Duluth",0,6,7,18,34,226,13,2017,1,"MN","Duluth,MN","City",31,273,"Duluth","MN","https://cde.state.mn.us/","State UCR","Open Source",86570,NA,NA,"","","",NA,"MN0690600","Duluth","MN","Midwest","West North Central",86570,"Duluth, MN","City","Midwest"
"Dunwoody,GA,City","Dunwoody",0,1,0,3,9,138,14,2017,1,"GA","Dunwoody,GA","City",4,161,"Dunwoody","GA","https://www.dunwoodyga.gov/police/crime-info-stats/crime-comparison","Agency Aggregated","Open Source",52505,NA,NA,"","","",NA,"GA0447100","Dunwoody","GA","South","South Atlantic",52505,"Dunwoody, GA","City","South"
"Durham,NC,City","Durham",2,6,111,165,216,562,71,2017,1,"NC","Durham,NC","City",284,849,"Durham","NC","From NC","State UCR","Provided by State UCR Program",295788,NA,NA,"","","",NA,"NC0320100","Durham","NC","South","South Atlantic",295788,"Durham, NC","City","South"
"Eagan,MN,City","Eagan",1,1,3,1,6,82,3,2017,1,"MN","Eagan,MN","City",6,91,"Eagan","MN","https://cde.state.mn.us/","State UCR","Open Source",66943,NA,NA,"Inferred Aug 2020 from annual average","","",NA,"MN0190800","Eagan","MN","Midwest","West North Central",66943,"Eagan, MN","City","Midwest"
"East Baton Rouge,LA,County","East Baton Rouge",0,0,17,11,104,518,27,2017,1,"LA","East Baton Rouge,LA","County",28,649,"East Baton Rouge","LA","https://data.brla.gov/Public-Safety/EBR-Sheriff-s-Office-Crime-Incidents/7y8j-nrht/explore/query/SELECT%0A%20%20%60incident_number%60%2C%0A%20%20%60charge_id%60%2C%0A%20%20%60charge_date%60%2C%0A%20%20%60report_date%60%2C%0A%20%20%60approved_date%60%2C%0A%20%20%60attempted_committed%60%2C%0A%20%20%60street%60%2C%0A%20%20%60street_2%60%2C%0A%20%20%60city%60%2C%0A%20%20%60state%60%2C%0A%20%20%60postal_code%60%2C%0A%20%20%60district%60%2C%0A%20%20%60zone%60%2C%0A%20%20%60sub_zone%60%2C%0A%20%20%60statute_title%60%2C%0A%20%20%60statute_description%60%2C%0A%20%20%60statute_category%60%2C%0A%20%20%60crime_against%60%2C%0A%20%20%60nibrs_code%60%2C%0A%20%20%60offense_description%60%2C%0A%20%20%60census_block_group%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60crime_prevention_district%60%2C%0A%20%20%60neighborhood%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60geolocation%60%0AORDER%20BY%20%60report_date%60%20DESC%20NULL%20FIRST/page/filter","Agency RMS","Open Source",197853,NA,NA,"","","",NA,"LA0170000","East Baton Rouge","LA","South","West South Central",197853,"East Baton Rouge, LA","County","South"
"East Hartford,CT,City","East Hartford",0,3,9,2,8,62,21,2017,1,"CT","East Hartford,CT","City",14,91,"East Hartford","CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",50625,NA,NA,"","","",NA,"CT0004300","East Hartford","CT","Northeast","New England",50625,"East Hartford, CT","City","Northeast"
"Eau Claire,WI,City","Eau Claire",0,2,8,8,20,97,3,2017,1,"WI","Eau Claire,WI","City",18,120,"Eau Claire","WI","From WI","State UCR","Provided by State UCR Program",69859,NA,NA,"","","",NA,"WI0180100","Eau Claire","WI","Midwest","East North Central",69859,"Eau Claire, WI","City","Midwest"
"Eden Prairie,MN,City","Eden Prairie",0,0,0,0,0,37,2,2017,1,"MN","Eden Prairie,MN","City",0,39,"Eden Prairie","MN","https://cde.state.mn.us/","State UCR","Open Source",61645,NA,NA,"","","",NA,"MN0272600","Eden Prairie","MN","Midwest","West North Central",61645,"Eden Prairie, MN","City","Midwest"
"Edina,MN,City","Edina",0,0,1,0,5,52,1,2017,1,"MN","Edina,MN","City",1,58,"Edina","MN","https://cde.state.mn.us/","State UCR","Open Source",51980,NA,NA,"","","",NA,"MN0270600","Edina","MN","Midwest","West North Central",51980,"Edina, MN","City","Midwest"
"Edinburg,TX,City","Edinburg",0,9,1,9,37,254,20,2017,1,"TX","Edinburg,TX","City",19,311,"Edinburg","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",106137,NA,NA,"","","",NA,"TX1080400","Edinburg","TX","South","West South Central",106137,"Edinburg, TX","City","South"
"El Cajon,CA,City","El Cajon",0,5,12,27,21,92,30,2019,8,"CA","El Cajon,CA","City",44,143,"El Cajon","CA","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",103569,NA,NA,"","","",NA,"CA0370500","El Cajon","CA","West","Pacific",103569,"El Cajon, CA","City","West"
"El Paso,CO,County","El Paso",0,24,1,20,35,162,18,2017,1,"CO","El Paso,CO","County",45,215,"El Paso","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",207095,NA,NA,"","","",NA,"CO0210000","El Paso","CO","West","Mountain",207095,"El Paso, CO","County","West"
"El Paso,TX,City","El Paso",3,28,36,153,91,894,71,2017,1,"TX","El Paso,TX","City",220,1056,"El Paso","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",676665,NA,NA,"","","",NA,"TX0710200","El Paso","TX","South","West South Central",676665,"El Paso, TX","City","South"
"El Paso,TX,County","El Paso",0,6,1,18,22,43,6,2017,1,"TX","El Paso,TX","County",25,71,"El Paso","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",116599,NA,NA,"","","",NA,"TX0710000","El Paso","TX","South","West South Central",116599,"El Paso, TX","County","South"
"Elyria,OH,City","Elyria",0,6,7,6,13,53,5,2017,1,"OH","Elyria,OH","City",19,71,"Elyria","OH","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",53024,NA,NA,"","","",NA,"OH0470400","Elyria","OH","Midwest","East North Central",53024,"Elyria, OH","City","Midwest"
"Erie,PA,City","Erie",2,3,11,15,30,109,11,2017,1,"PA","Erie,PA","City",31,150,"Erie","PA","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",92920,NA,NA,"","","",NA,"PA0250200","Erie","PA","Northeast","Middle Atlantic",92920,"Erie, PA","City","Northeast"
"Escondido,CA,City","Escondido",0,3,9,29,35,110,41,2020,7,"CA","Escondido,CA","City",41,186,"Escondido","CA","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",149837,NA,NA,"","","",NA,"CA0370600","Escondido","CA","West","Pacific",149837,"Escondido, CA","City","West"
"Euclid,OH,City","Euclid",0,2,10,18,23,68,27,2017,1,"OH","Euclid,OH","City",30,118,"Euclid","OH","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48170,NA,NA,"","","",NA,"OH0181800","Euclid","OH","Midwest","East North Central",48170,"Euclid, OH","City","Midwest"
"Eugene,OR,City","Eugene",1,11,10,16,94,360,47,2017,1,"OR","Eugene,OR","City",38,501,"Eugene","OR","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",178191,NA,NA,"","","",NA,"OR0200200","Eugene","OR","West","Pacific",178191,"Eugene, OR","City","West"
"Euless,TX,City","Euless",0,0,2,2,12,71,22,2017,1,"TX","Euless,TX","City",4,105,"Euless","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",59722,NA,NA,"","","",NA,"TX2200900","Euless","TX","South","West South Central",59722,"Euless, TX","City","South"
"Evanston,IL,City","Evanston",0,0,0,2,27,96,6,2017,1,"IL","Evanston,IL","City",2,129,"Evanston","IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74413,NA,NA,"","","",NA,"IL0163200","Evanston","IL","Midwest","East North Central",74413,"Evanston, IL","City","Midwest"
"Fairfax,VA,County","Fairfax",3,14,50,50,85,994,61,2017,1,"VA","Fairfax,VA","County",117,1140,"Fairfax","VA","From VA","State UCR","Provided by State UCR Program",1094031,NA,NA,"","","",NA,"VA0290100","Fairfax","VA","South","South Atlantic",1094031,"Fairfax, VA","County","South"
"Fairfield,CT,City","Fairfield",0,3,1,0,1,32,8,2017,1,"CT","Fairfield,CT","City",4,41,"Fairfield","CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",63588,NA,NA,"","","",NA,"CT0005100","Fairfield","CT","Northeast","New England",63588,"Fairfield, CT","City","Northeast"
"Fargo,ND,City","Fargo",0,11,6,20,45,197,15,2017,2,"ND","Fargo,ND","City",37,257,"Fargo","ND","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",134268,NA,NA,"","","",NA,"ND0090200","Fargo","ND","Midwest","West North Central",134268,"Fargo, ND","City","Midwest"
"Farmington Hills,MI,City","Farmington Hills",0,1,0,4,11,55,7,2017,1,"MI","Farmington Hills,MI","City",5,73,"Farmington Hills","MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",82223,NA,NA,"","","",NA,"MI6338900","Farmington Hills","MI","Midwest","East North Central",82223,"Farmington Hills, MI","City","Midwest"
"Flower Mound,TX,City","Flower Mound",0,1,1,3,3,40,0,2017,1,"TX","Flower Mound,TX","City",5,43,"Flower Mound","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79513,NA,NA,"","","",NA,"TX0611200","Flower Mound","TX","South","West South Central",79513,"Flower Mound, TX","City","South"
"Fontana,CA,City","Fontana",4,NA,13,NA,83,200,75,2017,1,"CA","Fontana,CA","City",17,358,"Fontana","CA","https://www.fontanaca.gov/CivicAlerts.aspx?CID=32","Agency Aggregated","Open Source",214429,NA,NA,"Inferred Jan - Aug 2021 from annual reported total","","",NA,"CA0360400","Fontana","CA","West","Pacific",214429,"Fontana, CA","City","West"
"Forsyth,NC,County","Forsyth",0,0,1,15,39,168,12,2017,1,"NC","Forsyth,NC","County",16,219,"Forsyth","NC","From NC","State UCR","Provided by State UCR Program",111773,NA,NA,"Inferred Dec 2018 - Jun 2019 from 2018 average","","",NA,"NC0340000","Forsyth","NC","South","South Atlantic",111773,"Forsyth, NC","County","South"
"Fort Bend,TX,County","Fort Bend",1,7,14,48,75,257,13,2017,1,"TX","Fort Bend,TX","County",70,345,"Fort Bend","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",578695,NA,NA,"","","",NA,"TX0790000","Fort Bend","TX","South","West South Central",578695,"Fort Bend, TX","County","South"
"Fort Collins,CO,City","Fort Collins",0,4,2,14,46,266,22,2017,1,"CO","Fort Collins,CO","City",20,334,"Fort Collins","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",168886,NA,NA,"","","",NA,"CO0350300","Fort Collins","CO","West","Mountain",168886,"Fort Collins, CO","City","West"
"Fort Wayne,IN,City","Fort Wayne",3,8,30,24,141,534,38,2017,1,"IN","Fort Wayne,IN","City",65,713,"Fort Wayne","IN","https://www.fwpd.org/crime-statistics","State UCR","Provided by State UCR Program",269728,NA,NA,"","","",NA,"IN0020100","Fort Wayne","IN","Midwest","East North Central",269728,"Fort Wayne, IN","City","Midwest"
