"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","Source","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Alexandria,VA,City","Alexandria",2,1,7,11,14,268,64,2018,7,"City",NA,"Alexandria,VA","City",21,346,"Alexandria","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",153897,NA,NA,"","","VA0990000","Alexandria",NA,"South","South Atlantic","alexandria","VA",155153,"city 100,000 thru 249,999",NA,NA,NA,NA,153897,"Alexandria, VA","City","VA","VA"
"Alhambra,CA,City","Alhambra",0,0,9,10,16,123,16,2023,2,"City",NA,"Alhambra,CA","City",19,155,"Alhambra","https://www.cityofalhambra.org/271/Crime-Statistics","Agency Aggregated","Open Source",79087,NA,NA,"","","CA0190100","Alhambra",NA,"West","Pacific","alhambra","CA",78840,"city 50,000 thru 99,999",NA,NA,NA,NA,79087,"Alhambra, CA","City","CA","CA"
"Aliso Viejo,CA,City","Aliso Viejo",0,0,0,1,0,12,0,2020,5,"City",NA,"Aliso Viejo,CA","City",1,12,"Aliso Viejo","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",49674,NA,NA,"","","CA030490X","Aliso Viejo",NA,"West","Pacific",NA,NA,50736,NA,NA,NA,NA,NA,50736,"Aliso Viejo, CA","City","CA","CA"
"Allen,TX,City","Allen",1,2,1,10,4,63,2,2025,5,"City","Scrape","Allen,TX","City",14,69,"Allen","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",114696,NA,NA,"Inferred Jan-Mar 2022 from annual average","","TX0430100","Allen",NA,"South","West South Central","allen","TX",113737,"city 100,000 thru 249,999",NA,NA,NA,NA,114696,"Allen, TX","City","TX","TX"
"Allentown,PA,City","Allentown",2,7,18,14,66,227,29,2017,8,"City",NA,"Allentown,PA","City",41,322,"Allentown","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",124782,NA,NA,"","","PA0390100","Allentown",NA,"Northeast","Middle Atlantic","allentown","PA",124599,"city 100,000 thru 249,999",NA,NA,NA,NA,124782,"Allentown, PA","City","PA","PA"
"Alpharetta,GA,City","Alpharetta",0,1,0,6,4,35,2,2025,1,"City","CDE","Alpharetta,GA","City",7,41,"Alpharetta","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67788,NA,NA,"","","GA0600400","Alpharetta",NA,"South","South Atlantic","alpharetta","GA",67788,"city 50,000 thru 99,999",NA,NA,NA,NA,68139,"Alpharetta, GA","City","GA","GA"
"Amarillo,TX,City","Amarillo",0,14,17,86,108,415,54,2023,6,"City",NA,"Amarillo,TX","City",117,577,"Amarillo","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",201684,NA,NA,"","","TX1880100","Amarillo",NA,"South","West South Central","amarillo","TX",105068,"city 100,000 thru 249,999",NA,NA,NA,NA,201684,"Amarillo, TX","City","TX","TX"
"Ames,IA,City","Ames",0,4,3,5,25,87,3,2017,12,"City",NA,"Ames,IA","City",12,115,"Ames","From IA","State UCR","Provided by Agency",67186,NA,NA,"","","IA0850100","Ames",NA,"Midwest","West North Central","ames","IA",65426,"city 50,000 thru 99,999",NA,NA,NA,NA,67186,"Ames, IA","City","IA","IA"
"Anderson,SC,County","Anderson",1,5,7,66,75,325,56,2020,7,"County",NA,"Anderson,SC","County",79,456,"Anderson","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",164574,NA,NA,"","","SC0040000","Anderson",NA,"South","South Atlantic","anderson","SC",172689,"msa-county 100,000+",NA,NA,NA,NA,164574,"Anderson, SC","County","SC","SC"
"Ankeny,IA,City","Ankeny",0,2,0,4,3,70,10,2023,6,"City",NA,"Ankeny,IA","City",6,83,"Ankeny","From IA","State UCR","Provided by Agency",74233,NA,NA,"","","IA0770100","Ankeny",NA,"Midwest","West North Central","ankeny","IA",76547,"city 50,000 thru 99,999",NA,NA,NA,NA,74233,"Ankeny, IA","City","IA","IA"
"Ann Arbor,MI,City","Ann Arbor",0,6,6,25,9,143,6,2020,10,"City",NA,"Ann Arbor,MI","City",37,158,"Ann Arbor","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",118072,NA,NA,"","","MI8121800","Ann Arbor",NA,"Midwest","East North Central","ann arbor","MI",118025,"city 100,000 thru 249,999",NA,NA,NA,NA,118072,"Ann Arbor, MI","City","MI","MI"
"Antioch,CA,City","Antioch",2,1,17,40,38,148,69,2023,5,"City",NA,"Antioch,CA","City",60,255,"Antioch","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",115271,NA,NA,"","","CA0070100","Antioch",NA,"West","Pacific","antioch","CA",117675,"city 100,000 thru 249,999",NA,NA,NA,NA,115271,"Antioch, CA","City","CA","CA"
"Apple Valley,MN,City","Apple Valley",0,0,1,12,0,63,8,2022,12,"City",NA,"Apple Valley,MN","City",13,71,"Apple Valley","https://cde.state.mn.us/","State UCR","Open Source",54995,NA,NA,"","","MN0191000","Apple Valley",NA,"Midwest","West North Central","apple valley","MN",55028,"city 50,000 thru 99,999",NA,NA,NA,NA,54995,"Apple Valley, MN","City","MN","MN"
"Arapahoe,CO,County","Arapahoe",0,0,3,23,28,111,24,2025,5,"County","Scrape","Arapahoe,CO","County",26,163,"Arapahoe","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104204,NA,NA,"","","CO0030000","Arapahoe",NA,"West","Mountain","arapahoe","CO",108211,"msa-county 100,000+",NA,NA,NA,NA,104204,"Arapahoe, CO","County","CO","CO"
