"city_state_id","city_state","Agency Name","State","date","Agency_Type"
"Milpitas,CA,City","Milpitas,CA","Milpitas","CA","apr_26","City"
"Milwaukee,WI,City","Milwaukee,WI","Milwaukee","WI","apr_26","City"
"Minneapolis,MN,City","Minneapolis,MN","Minneapolis","MN","apr_26","City"
"Minnetonka,MN,City","Minnetonka,MN","Minnetonka","MN","apr_26","City"
"Mission Viejo,CA,City","Mission Viejo,CA","Mission Viejo","CA","apr_26","City"
"Missoula,MT,City","Missoula,MT","Missoula","MT","apr_26","City"
"Missouri City,TX,City","Missouri City,TX","Missouri City","TX","apr_26","City"
"Mobile,AL,City","Mobile,AL","Mobile","AL","apr_26","City"
"Monterey Park,CA,City","Monterey Park,CA","Monterey Park","CA","apr_26","City"
"Monterey,CA,County","Monterey,CA","Monterey","CA","apr_26","County"
"Montgomery,MD,County","Montgomery,MD","Montgomery","MD","apr_26","County"
"Moore,OK,City","Moore,OK","Moore","OK","apr_26","City"
"Mooresville,NC,City","Mooresville,NC","Mooresville","NC","apr_26","City"
"Mount Pleasant,SC,City","Mount Pleasant,SC","Mount Pleasant","SC","apr_26","City"
"Mount Prospect,IL,City","Mount Prospect,IL","Mount Prospect","IL","apr_26","City"
"Mountain View,CA,City","Mountain View,CA","Mountain View","CA","apr_26","City"
"Muncie,IN,City","Muncie,IN","Muncie","IN","apr_26","City"
"Murfreesboro,TN,City","Murfreesboro,TN","Murfreesboro","TN","apr_26","City"
"Murrieta,CA,City","Murrieta,CA","Murrieta","CA","apr_26","City"
"Napa,CA,City","Napa,CA","Napa","CA","apr_26","City"
"Nashville,TN,City","Nashville,TN","Nashville","TN","apr_26","City"
"National City,CA,City","National City,CA","National City","CA","apr_26","City"
"New Bedford,MA,City","New Bedford,MA","New Bedford","MA","apr_26","City"
"New Braunfels,TX,City","New Braunfels,TX","New Braunfels","TX","apr_26","City"
"New Hanover,NC,County","New Hanover,NC","New Hanover","NC","apr_26","County"
"New Orleans,LA,City","New Orleans,LA","New Orleans","LA","apr_26","City"
"New Rochelle,NY,City","New Rochelle,NY","New Rochelle","NY","apr_26","City"
"New York City,NY,City","New York City,NY","New York City","NY","apr_26","City"
"Newark,NJ,City","Newark,NJ","Newark","NJ","apr_26","City"
"Newport Beach,CA,City","Newport Beach,CA","Newport Beach","CA","apr_26","City"
"Noblesville,IN,City","Noblesville,IN","Noblesville","IN","apr_26","City"
"Normal,IL,City","Normal,IL","Normal","IL","apr_26","City"
"North Bergen Township,NJ,City","North Bergen Township,NJ","North Bergen Township","NJ","apr_26","City"
"North Charleston,SC,City","North Charleston,SC","North Charleston","SC","apr_26","City"
