"","Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year"
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.62","BRISTOL","0","0","0","1","0","5","0","0","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.63","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.64","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.65","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.66","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.67","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.68","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.69","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.70","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.71","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.72","BRISTOL","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.73","BROWN UNIVERSITY","0","0","0","0","1","1","0","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.74","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.75","BROWN UNIVERSITY","0","0","0","0","1","4","0","1","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.76","BROWN UNIVERSITY","0","0","0","0","1","6","0","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.77","BROWN UNIVERSITY","NR","0","0","0","0","5","1","0","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.78","BROWN UNIVERSITY","0","0","0","0","1","4","0","0","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.79","BROWN UNIVERSITY","NR","0","0","0","0","5","2","0","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.80","BROWN UNIVERSITY","NR","0","0","0","0","5","0","0","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.81","BROWN UNIVERSITY","0","0","0","0","0","13","1","0","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.82","BROWN UNIVERSITY","NR","0","0","0","2","15","3","0","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.83","BROWN UNIVERSITY","0","0","0","0","1","5","6","0","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.84","BROWN UNIVERSITY","0","1","0","0","1","5","3","0","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.85","BROWN UNIVERSITY","0","0","0","0","0","1","1","0","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.86","BROWN UNIVERSITY","0","0","0","0","1","5","3","0","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.87","BROWN UNIVERSITY","0","0","0","0","2","4","0","0","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.88","BROWN UNIVERSITY","0","0","0","0","0","12","0","0","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.89","BROWN UNIVERSITY","0","0","0","0","1","9","4","0","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.90","BROWN UNIVERSITY","0","0","0","0","0","1","0","0","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.91","BROWN UNIVERSITY","0","0","0","0","0","6","0","0","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.92","BROWN UNIVERSITY","0","0","0","0","1","9","0","0","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.93","BROWN UNIVERSITY","0","0","0","0","0","4","4","0","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.94","BROWN UNIVERSITY","NR","0","0","0","0","6","8","0","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.95","BROWN UNIVERSITY","NR","0","0","0","1","5","3","0","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.96","BROWN UNIVERSITY","0","0","0","0","1","1","1","0","12",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.97","BROWN UNIVERSITY","0","0","0","0","0","0","0","0","1",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.98","BROWN UNIVERSITY","0","0","0","0","0","3","3","0","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.99","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.100","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.101","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.102","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.103","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.104","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.105","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.106","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.107","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.108","BROWN UNIVERSITY","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.109","BURRILLVILLE","0","1","0","0","4","3","0","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.110","BURRILLVILLE","0","0","0","1","0","2","0","0","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.111","BURRILLVILLE","0","0","0","1","1","4","0","0","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.112","BURRILLVILLE","0","1","0","0","0","2","1","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.113","BURRILLVILLE","NR","2","0","0","1","2","0","0","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.114","BURRILLVILLE","0","0","0","0","0","5","1","0","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.115","BURRILLVILLE","NR","0","0","0","1","5","0","0","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.116","BURRILLVILLE","NR","1","0","0","0","3","0","0","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.117","BURRILLVILLE","0","1","0","1","1","5","0","0","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.118","BURRILLVILLE","NR","0","0","0","1","4","0","0","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.119","BURRILLVILLE","0","1","0","0","0","4","0","0","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.120","BURRILLVILLE","0","0","0","0","3","3","0","0","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.121","BURRILLVILLE","0","0","0","1","1","3","0","0","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.122","BURRILLVILLE","0","0","0","0","1","2","0","1","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.123","BURRILLVILLE","0","0","0","1","2","1","0","0","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.124","BURRILLVILLE","0","0","0","1","1","2","1","2","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.125","BURRILLVILLE","0","0","0","2","0","0","0","0","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.126","BURRILLVILLE","0","0","0","1","0","4","0","0","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.127","BURRILLVILLE","0","0","0","0","0","3","0","0","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.128","BURRILLVILLE","0","1","0","1","0","1","0","0","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.129","BURRILLVILLE","0","0","0","1","0","1","0","0","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.130","BURRILLVILLE","NR","0","0","0","0","2","1","0","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.131","BURRILLVILLE","NR","1","0","1","1","3","0","0","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.132","BURRILLVILLE","0","0","0","0","0","10","1","0","12",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.133","BURRILLVILLE","0","0","0","0","0","1","1","0","1",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.134","BURRILLVILLE","0","0","0","1","0","0","1","0","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.135","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.136","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.137","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.138","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.139","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.140","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.141","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.142","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.143","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.144","BURRILLVILLE","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.145","CENTRAL FALLS","0","2","0","0","0","16","1","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.146","CENTRAL FALLS","0","0","1","5","0","15","6","0","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.147","CENTRAL FALLS","0","0","1","7","6","17","4","0","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.148","CENTRAL FALLS","0","0","2","3","2","17","4","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.149","CENTRAL FALLS","NR","5","2","4","2","18","8","0","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.150","CENTRAL FALLS","0","0","0","4","1","18","5","0","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.151","CENTRAL FALLS","NR","0","1","7","6","16","8","1","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.152","CENTRAL FALLS","NR","1","0","6","0","27","4","0","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.153","CENTRAL FALLS","0","1","0","7","3","19","2","0","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.154","CENTRAL FALLS","NR","0","0","8","1","10","3","0","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.155","CENTRAL FALLS","0","1","0","3","4","12","4","0","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.156","CENTRAL FALLS","0","1","3","1","1","13","3","0","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.157","CENTRAL FALLS","0","0","0","4","1","13","4","0","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.158","CENTRAL FALLS","0","0","1","5","3","6","2","0","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.159","CENTRAL FALLS","0","1","1","6","1","15","3","0","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.160","CENTRAL FALLS","0","0","0","8","1","14","2","0","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.161","CENTRAL FALLS","0","2","0","5","3","13","8","0","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.162","CENTRAL FALLS","0","1","0","5","0","15","1","1","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.163","CENTRAL FALLS","0","0","2","8","4","8","3","1","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.164","CENTRAL FALLS","1","1","0","8","5","18","6","0","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.165","CENTRAL FALLS","1","1","1","5","2","11","5","0","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.166","CENTRAL FALLS","NR","1","2","5","2","13","4","0","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.167","CENTRAL FALLS","NR","0","1","0","3","10","4","0","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.168","CENTRAL FALLS","0","0","6","5","2","17","6","0","12",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.169","CENTRAL FALLS","0","0","1","5","5","11","4","0","1",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.170","CENTRAL FALLS","0","1","0","2","2","15","7","0","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.171","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.172","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.173","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.174","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.175","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.176","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.177","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.178","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.179","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.180","CENTRAL FALLS","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.181","CHARLESTOWN","0","1","0","0","2","1","0","0","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.182","CHARLESTOWN","0","0","0","0","0","3","0","0","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.183","CHARLESTOWN","0","0","0","0","0","2","0","0","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.184","CHARLESTOWN","0","0","0","0","0","2","0","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.185","CHARLESTOWN","NR","0","0","0","1","5","0","0","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.186","CHARLESTOWN","0","0","0","0","0","4","0","0","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.187","CHARLESTOWN","NR","1","0","1","0","3","0","0","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.188","CHARLESTOWN","NR","1","0","0","0","10","0","0","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.189","CHARLESTOWN","1","0","0","0","1","2","1","0","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.190","CHARLESTOWN","NR","0","0","0","0","0","0","0","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.191","CHARLESTOWN","0","0","0","0","0","2","0","0","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.192","CHARLESTOWN","0","0","0","1","0","0","0","0","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.193","CHARLESTOWN","0","0","0","1","0","4","1","0","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.194","CHARLESTOWN","0","0","0","0","0","1","0","0","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.195","CHARLESTOWN","0","0","0","0","0","1","0","0","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.196","CHARLESTOWN","0","0","0","0","0","2","0","0","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.197","CHARLESTOWN","0","0","0","0","0","1","0","0","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.198","CHARLESTOWN","0","0","0","0","0","1","1","0","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.199","CHARLESTOWN","0","0","0","0","1","3","0","1","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.200","CHARLESTOWN","0","1","0","1","1","2","1","0","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.201","CHARLESTOWN","0","0","0","0","1","3","0","0","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.202","CHARLESTOWN","NR","0","0","1","0","2","0","0","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.203","CHARLESTOWN","NR","0","0","0","2","1","0","0","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Rhode Island\Formatted Data.204","CHARLESTOWN","0","0","0","0","0","3","0","0","12",2023
