"ORI.Number","ORI.9.Digit","State","Agency.Name","Population","Year","Month","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","City_viz","State_viz","City","samp","state_name","ucr_agency_name","state_ucr_link","Date"
NA,NA,"arizona","Buckeye PD",NA,2022,3,1,4,0,9,20,64,12,1,"Buckeye","Arizona","buckeye",1,"Arizona","BUCKEYE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Chandler PD",NA,2022,3,1,6,6,37,47,365,38,1,"Chandler","Arizona","chandler",1,"Arizona","CHANDLER","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Gilbert PD",NA,2022,3,0,7,5,6,21,187,16,1,"Gilbert","Arizona","gilbert",1,"Arizona","GILBERT","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Glendale PD",NA,2022,3,3,15,15,103,79,525,84,4,"Glendale","Arizona","glendale",1,"Arizona","GLENDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Goodyear PD",NA,2022,3,0,1,5,15,30,117,12,0,"Goodyear","Arizona","goodyear",1,"Arizona","GOODYEAR","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Mesa PD",NA,2022,3,1,26,22,110,110,727,95,2,"Mesa","Arizona","mesa",1,"Arizona","MESA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Queen Creek Police Department",NA,2022,3,0,0,0,6,9,52,1,0,"Queen creek","Arizona","queen creek",1,"Arizona","QUEEN CREEK","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Peoria PD",NA,2022,3,0,8,7,16,43,219,19,1,"Peoria","Arizona","peoria",1,"Arizona","PEORIA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Scottsdale PD",NA,2022,3,0,7,8,21,48,458,33,0,"Scottsdale","Arizona","scottsdale",1,"Arizona","SCOTTSDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Surprise PD",NA,2022,3,0,4,2,22,24,157,16,0,"Surprise","Arizona","surprise",1,"Arizona","SURPRISE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Tempe PD",NA,2022,3,3,15,19,65,69,553,69,1,"Tempe","Arizona","tempe",1,"Arizona","TEMPE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Lake Havasu City PD",NA,2022,3,0,2,0,10,12,58,2,1,"Lake havasu city","Arizona","lake havasu city",1,"Arizona","LAKE HAVASU CITY","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Marana PD",NA,2022,3,0,1,3,3,1,111,2,1,"Marana","Arizona","marana",1,"Arizona","MARANA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Casa Grande PD",NA,2022,3,1,2,0,26,18,129,12,2,"Casa grande","Arizona","casa grande",1,"Arizona","CASA GRANDE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Maricopa PD",NA,2022,3,0,0,0,15,2,33,2,0,"Maricopa","Arizona","maricopa",1,"Arizona","MARICOPA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Yuma PD",NA,2022,3,0,7,6,43,38,104,20,1,"Yuma","Arizona","yuma",1,"Arizona","YUMA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Flagstaff PD",NA,2022,4,0,5,8,22,30,125,5,1,"Flagstaff","Arizona","flagstaff",1,"Arizona","FLAGSTAFF","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Avondale PD",NA,2022,4,1,3,3,20,22,218,25,1,"Avondale","Arizona","avondale",1,"Arizona","AVONDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Buckeye PD",NA,2022,4,0,5,2,11,9,82,10,0,"Buckeye","Arizona","buckeye",1,"Arizona","BUCKEYE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Chandler PD",NA,2022,4,1,8,8,22,47,341,27,0,"Chandler","Arizona","chandler",1,"Arizona","CHANDLER","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Gilbert PD",NA,2022,4,0,5,0,24,23,186,13,1,"Gilbert","Arizona","gilbert",1,"Arizona","GILBERT","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Glendale PD",NA,2022,4,2,11,17,85,75,468,88,6,"Glendale","Arizona","glendale",1,"Arizona","GLENDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Goodyear PD",NA,2022,4,0,2,4,11,39,99,8,0,"Goodyear","Arizona","goodyear",1,"Arizona","GOODYEAR","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Mesa PD",NA,2022,4,3,22,22,154,93,581,94,2,"Mesa","Arizona","mesa",1,"Arizona","MESA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Queen Creek Police Department",NA,2022,4,0,1,1,8,10,50,3,3,"Queen creek","Arizona","queen creek",1,"Arizona","QUEEN CREEK","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Peoria PD",NA,2022,4,0,8,2,31,26,188,16,0,"Peoria","Arizona","peoria",1,"Arizona","PEORIA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Scottsdale PD",NA,2022,4,0,16,4,23,66,366,36,0,"Scottsdale","Arizona","scottsdale",1,"Arizona","SCOTTSDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
NA,NA,"arizona","Surprise PD",NA,2022,4,0,2,4,8,19,189,13,1,"Surprise","Arizona","surprise",1,"Arizona","SURPRISE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-04-01
