"city_state_id","city_state","Agency Name","State","date","Agency_Type"
"Dayton,OH,City","Dayton,OH","Dayton","OH","jul_25","City"
"Dearborn Heights,MI,City","Dearborn Heights,MI","Dearborn Heights","MI","jul_25","City"
"Dearborn,MI,City","Dearborn,MI","Dearborn","MI","jul_25","City"
"Decatur,IL,City","Decatur,IL","Decatur","IL","jul_25","City"
"Delaware,OH,County","Delaware,OH","Delaware","OH","jul_25","County"
"Denton,TX,City","Denton,TX","Denton","TX","jul_25","City"
"Denton,TX,County","Denton,TX","Denton","TX","jul_25","County"
"Denver,CO,City","Denver,CO","Denver","CO","jul_25","City"
"Des Moines,IA,City","Des Moines,IA","Des Moines","IA","jul_25","City"
"Desoto,TX,City","Desoto,TX","Desoto","TX","jul_25","City"
"Detroit,MI,City","Detroit,MI","Detroit","MI","jul_25","City"
"Douglas,CO,County","Douglas,CO","Douglas","CO","jul_25","County"
"Draper,UT,City","Draper,UT","Draper","UT","jul_25","City"
"Dublin,OH,City","Dublin,OH","Dublin","OH","jul_25","City"
"Dubuque,IA,City","Dubuque,IA","Dubuque","IA","jul_25","City"
"Duluth,MN,City","Duluth,MN","Duluth","MN","jul_25","City"
"Dunwoody,GA,City","Dunwoody,GA","Dunwoody","GA","jul_25","City"
"Durham,NC,City","Durham,NC","Durham","NC","jul_25","City"
"Eagan,MN,City","Eagan,MN","Eagan","MN","jul_25","City"
"East Baton Rouge,LA,County","East Baton Rouge,LA","East Baton Rouge","LA","jul_25","County"
"East Hartford,CT,City","East Hartford,CT","East Hartford","CT","jul_25","City"
"Eau Claire,WI,City","Eau Claire,WI","Eau Claire","WI","jul_25","City"
"Eden Prairie,MN,City","Eden Prairie,MN","Eden Prairie","MN","jul_25","City"
"Edina,MN,City","Edina,MN","Edina","MN","jul_25","City"
"Edinburg,TX,City","Edinburg,TX","Edinburg","TX","jul_25","City"
"El Cajon,CA,City","El Cajon,CA","El Cajon","CA","jul_25","City"
"El Dorado,CA,County","El Dorado,CA","El Dorado","CA","jul_25","County"
"El Monte,CA,City","El Monte,CA","El Monte","CA","jul_25","City"
"El Paso,CO,County","El Paso,CO","El Paso","CO","jul_25","County"
"El Paso,TX,City","El Paso,TX","El Paso","TX","jul_25","City"
"El Paso,TX,County","El Paso,TX","El Paso","TX","jul_25","County"
"Elizabeth,NJ,City","Elizabeth,NJ","Elizabeth","NJ","jul_25","City"
"Elk Grove,CA,City","Elk Grove,CA","Elk Grove","CA","jul_25","City"
"Elyria,OH,City","Elyria,OH","Elyria","OH","jul_25","City"
"Enid,OK,City","Enid,OK","Enid","OK","jul_25","City"
"Erie,PA,City","Erie,PA","Erie","PA","jul_25","City"
"Escondido,CA,City","Escondido,CA","Escondido","CA","jul_25","City"
"Euclid,OH,City","Euclid,OH","Euclid","OH","jul_25","City"
"Eugene,OR,City","Eugene,OR","Eugene","OR","jul_25","City"
"Euless,TX,City","Euless,TX","Euless","TX","jul_25","City"
"Everett,MA,City","Everett,MA","Everett","MA","jul_25","City"
"Fairfield,CA,City","Fairfield,CA","Fairfield","CA","jul_25","City"
"Fairfield,CT,City","Fairfield,CT","Fairfield","CT","jul_25","City"
"Fargo,ND,City","Fargo,ND","Fargo","ND","jul_25","City"
"Farmington Hills,MI,City","Farmington Hills,MI","Farmington Hills","MI","jul_25","City"
"Fayetteville,NC,City","Fayetteville,NC","Fayetteville","NC","jul_25","City"
"Fishers,IN,City","Fishers,IN","Fishers","IN","jul_25","City"
"Flower Mound,TX,City","Flower Mound,TX","Flower Mound","TX","jul_25","City"
"Folsom,CA,City","Folsom,CA","Folsom","CA","jul_25","City"
"Fontana,CA,City","Fontana,CA","Fontana","CA","jul_25","City"
"Forsyth,NC,County","Forsyth,NC","Forsyth","NC","jul_25","County"
"Fort Bend,TX,County","Fort Bend,TX","Fort Bend","TX","jul_25","County"
"Fort Collins,CO,City","Fort Collins,CO","Fort Collins","CO","jul_25","City"
"Fort Smith,AR,City","Fort Smith,AR","Fort Smith","AR","jul_25","City"
"Fort Wayne,IN,City","Fort Wayne,IN","Fort Wayne","IN","jul_25","City"
"Fort Worth,TX,City","Fort Worth,TX","Fort Worth","TX","jul_25","City"
"Fountain Valley,CA,City","Fountain Valley,CA","Fountain Valley","CA","jul_25","City"
"Franklin,TN,City","Franklin,TN","Franklin","TN","jul_25","City"
"Fresno,CA,City","Fresno,CA","Fresno","CA","jul_25","City"
"Frisco,TX,City","Frisco,TX","Frisco","TX","jul_25","City"
"Fullerton,CA,City","Fullerton,CA","Fullerton","CA","jul_25","City"
"Galveston,TX,City","Galveston,TX","Galveston","TX","jul_25","City"
"Gardena,CA,City","Gardena,CA","Gardena","CA","jul_25","City"
"Garland,TX,City","Garland,TX","Garland","TX","jul_25","City"
"Gastonia,NC,City","Gastonia,NC","Gastonia","NC","jul_25","City"
"Georgetown,TX,City","Georgetown,TX","Georgetown","TX","jul_25","City"
"Gilbert,AZ,City","Gilbert,AZ","Gilbert","AZ","jul_25","City"
"Gilroy,CA,City","Gilroy,CA","Gilroy","CA","jul_25","City"
"Glendale,CA,City","Glendale,CA","Glendale","CA","jul_25","City"
"Goodyear,AZ,City","Goodyear,AZ","Goodyear","AZ","jul_25","City"
"Grand Forks,ND,City","Grand Forks,ND","Grand Forks","ND","jul_25","City"
"Grand Island,NE,City","Grand Island,NE","Grand Island","NE","jul_25","City"
"Grand Junction,CO,City","Grand Junction,CO","Grand Junction","CO","jul_25","City"
"Grand Prairie,TX,City","Grand Prairie,TX","Grand Prairie","TX","jul_25","City"
"Grand Rapids,MI,City","Grand Rapids,MI","Grand Rapids","MI","jul_25","City"
"Grapevine,TX,City","Grapevine,TX","Grapevine","TX","jul_25","City"
"Great Falls,MT,City","Great Falls,MT","Great Falls","MT","jul_25","City"
"Greeley,CO,City","Greeley,CO","Greeley","CO","jul_25","City"
"Green Bay,WI,City","Green Bay,WI","Green Bay","WI","jul_25","City"
"Green Township,OH,City","Green Township,OH","Green Township","OH","jul_25","City"
"Greensboro,NC,City","Greensboro,NC","Greensboro","NC","jul_25","City"
"Greenville,NC,City","Greenville,NC","Greenville","NC","jul_25","City"
"Greenville,SC,City","Greenville,SC","Greenville","SC","jul_25","City"
"Greenwood,IN,City","Greenwood,IN","Greenwood","IN","jul_25","City"
"Guilford,NC,County","Guilford,NC","Guilford","NC","jul_25","County"
"Hall,GA,County","Hall,GA","Hall","GA","jul_25","County"
"Hamilton Township,NJ,City","Hamilton Township,NJ","Hamilton Township","NJ","jul_25","City"
"Hamilton,NJ,City","Hamilton,NJ","Hamilton","NJ","jul_25","City"
"Hamilton,OH,County","Hamilton,OH","Hamilton","OH","jul_25","County"
"Hamilton,TN,County","Hamilton,TN","Hamilton","TN","jul_25","County"
"Hampton,VA,City","Hampton,VA","Hampton","VA","jul_25","City"
"Hanover,VA,County","Hanover,VA","Hanover","VA","jul_25","County"
"Harlingen,TX,City","Harlingen,TX","Harlingen","TX","jul_25","City"
"Harris,TX,County","Harris,TX","Harris","TX","jul_25","County"
"Harrisburg,PA,City","Harrisburg,PA","Harrisburg","PA","jul_25","City"
"Harrisonburg,VA,City","Harrisonburg,VA","Harrisonburg","VA","jul_25","City"
"Hartford,CT,City","Hartford,CT","Hartford","CT","jul_25","City"
"Haverhill,MA,City","Haverhill,MA","Haverhill","MA","jul_25","City"
"Hays,TX,County","Hays,TX","Hays","TX","jul_25","County"
"Hayward,CA,City","Hayward,CA","Hayward","CA","jul_25","City"
"Hempstead Village,NY,City","Hempstead Village,NY","Hempstead Village","NY","jul_25","City"
"Henderson,NV,City","Henderson,NV","Henderson","NV","jul_25","City"
"Hendersonville,TN,City","Hendersonville,TN","Hendersonville","TN","jul_25","City"
"Hidalgo,TX,County","Hidalgo,TX","Hidalgo","TX","jul_25","County"
"High Point,NC,City","High Point,NC","High Point","NC","jul_25","City"
"Hillsboro,OR,City","Hillsboro,OR","Hillsboro","OR","jul_25","City"
"Hoboken,NJ,City","Hoboken,NJ","Hoboken","NJ","jul_25","City"
"Honolulu,HI,City","Honolulu,HI","Honolulu","HI","jul_25","City"
"Houston,TX,City","Houston,TX","Houston","TX","jul_25","City"
"Huntersville,NC,City","Huntersville,NC","Huntersville","NC","jul_25","City"
"Idaho Falls,ID,City","Idaho Falls,ID","Idaho Falls","ID","jul_25","City"
"Independence,MO,City","Independence,MO","Independence","MO","jul_25","City"
"Indianapolis,IN,City","Indianapolis,IN","Indianapolis","IN","jul_25","City"
"Iowa City,IA,City","Iowa City,IA","Iowa City","IA","jul_25","City"
"Iredell,NC,County","Iredell,NC","Iredell","NC","jul_25","County"
"Irvine,CA,City","Irvine,CA","Irvine","CA","jul_25","City"
"Irving,TX,City","Irving,TX","Irving","TX","jul_25","City"
"Jackson,TN,City","Jackson,TN","Jackson","TN","jul_25","City"
"Jacksonville,FL,City","Jacksonville,FL","Jacksonville","FL","jul_25","City"
"Janesville,WI,City","Janesville,WI","Janesville","WI","jul_25","City"
"Jefferson,CO,County","Jefferson,CO","Jefferson","CO","jul_25","County"
"Jefferson,LA,County","Jefferson,LA","Jefferson","LA","jul_25","County"
"Jefferson,MO,County","Jefferson,MO","Jefferson","MO","jul_25","County"
"Jersey City,NJ,City","Jersey City,NJ","Jersey City","NJ","jul_25","City"
"Johnson City,TN,City","Johnson City,TN","Johnson City","TN","jul_25","City"
"Johnston,NC,County","Johnston,NC","Johnston","NC","jul_25","County"
"Jonesboro,AR,City","Jonesboro,AR","Jonesboro","AR","jul_25","City"
"Joplin,MO,City","Joplin,MO","Joplin","MO","jul_25","City"
"Kannapolis,NC,City","Kannapolis,NC","Kannapolis","NC","jul_25","City"
"Kansas City,MO,City","Kansas City,MO","Kansas City","MO","jul_25","City"
"Kaufman,TX,County","Kaufman,TX","Kaufman","TX","jul_25","County"
"Kenosha,WI,City","Kenosha,WI","Kenosha","WI","jul_25","City"
"Kent,MI,County","Kent,MI","Kent","MI","jul_25","County"
"Killeen,TX,City","Killeen,TX","Killeen","TX","jul_25","City"
"Kingsport,TN,City","Kingsport,TN","Kingsport","TN","jul_25","City"
"Knox,TN,County","Knox,TN","Knox","TN","jul_25","County"
"Knoxville,TN,City","Knoxville,TN","Knoxville","TN","jul_25","City"
"Kyle,TX,City","Kyle,TX","Kyle","TX","jul_25","City"
"La Crosse,WI,City","La Crosse,WI","La Crosse","WI","jul_25","City"
"La Mesa,CA,City","La Mesa,CA","La Mesa","CA","jul_25","City"
"Laguna Niguel,CA,City","Laguna Niguel,CA","Laguna Niguel","CA","jul_25","City"
"Lake Charles,LA,City","Lake Charles,LA","Lake Charles","LA","jul_25","City"
"Lake Havasu City,AZ,City","Lake Havasu City,AZ","Lake Havasu City","AZ","jul_25","City"
"Lakeville,MN,City","Lakeville,MN","Lakeville","MN","jul_25","City"
"Lancaster,PA,City","Lancaster,PA","Lancaster","PA","jul_25","City"
"Lancaster,SC,County","Lancaster,SC","Lancaster","SC","jul_25","County"
"Laredo,TX,City","Laredo,TX","Laredo","TX","jul_25","City"
"Las Vegas,NV,City","Las Vegas,NV","Las Vegas","NV","jul_25","City"
"Lawrence,MA,City","Lawrence,MA","Lawrence","MA","jul_25","City"
"Layton,UT,City","Layton,UT","Layton","UT","jul_25","City"
"League City,TX,City","League City,TX","League City","TX","jul_25","City"
"Leander,TX,City","Leander,TX","Leander","TX","jul_25","City"
"Lee's Summit,MO,City","Lee's Summit,MO","Lee's Summit","MO","jul_25","City"
"Lenexa,KS,City","Lenexa,KS","Lenexa","KS","jul_25","City"
"Lewisville,TX,City","Lewisville,TX","Lewisville","TX","jul_25","City"
"Lexington,KY,City","Lexington,KY","Lexington","KY","jul_25","City"
"Lexington,SC,County","Lexington,SC","Lexington","SC","jul_25","County"
"Lincoln,CA,City","Lincoln,CA","Lincoln","CA","jul_25","City"
"Lincoln,NE,City","Lincoln,NE","Lincoln","NE","jul_25","City"
"Little Elm,TX,City","Little Elm,TX","Little Elm","TX","jul_25","City"
"Little Rock,AR,City","Little Rock,AR","Little Rock","AR","jul_25","City"
"Livermore,CA,City","Livermore,CA","Livermore","CA","jul_25","City"
"Livingston,LA,County","Livingston,LA","Livingston","LA","jul_25","County"
"Livingston,MI,County","Livingston,MI","Livingston","MI","jul_25","County"
"Livonia,MI,City","Livonia,MI","Livonia","MI","jul_25","City"
"Logan,UT,City","Logan,UT","Logan","UT","jul_25","City"
"Long Beach,CA,City","Long Beach,CA","Long Beach","CA","jul_25","City"
"Longview,TX,City","Longview,TX","Longview","TX","jul_25","City"
"Lorain,OH,City","Lorain,OH","Lorain","OH","jul_25","City"
"Los Angeles,CA,City","Los Angeles,CA","Los Angeles","CA","jul_25","City"
"Los Angeles,CA,County","Los Angeles,CA","Los Angeles","CA","jul_25","County"
"Louisville,KY,City","Louisville,KY","Louisville","KY","jul_25","City"
"Lower Merion,PA,City","Lower Merion,PA","Lower Merion","PA","jul_25","City"
"Lower Paxton,PA,City","Lower Paxton,PA","Lower Paxton","PA","jul_25","City"
"Lynchburg,VA,City","Lynchburg,VA","Lynchburg","VA","jul_25","City"
"Lynn,MA,City","Lynn,MA","Lynn","MA","jul_25","City"
"Madera,CA,City","Madera,CA","Madera","CA","jul_25","City"
"Manchester,CT,City","Manchester,CT","Manchester","CT","jul_25","City"
"Manchester,NH,City","Manchester,NH","Manchester","NH","jul_25","City"
"Mansfield,TX,City","Mansfield,TX","Mansfield","TX","jul_25","City"
"Maple Grove,MN,City","Maple Grove,MN","Maple Grove","MN","jul_25","City"
"McAllen,TX,City","McAllen,TX","McAllen","TX","jul_25","City"
"Mckinney,TX,City","Mckinney,TX","Mckinney","TX","jul_25","City"
"Memphis,TN,City","Memphis,TN","Memphis","TN","jul_25","City"
"Merced,CA,City","Merced,CA","Merced","CA","jul_25","City"
"Meriden,CT,City","Meriden,CT","Meriden","CT","jul_25","City"
"Meridian,ID,City","Meridian,ID","Meridian","ID","jul_25","City"
"Mesa,AZ,City","Mesa,AZ","Mesa","AZ","jul_25","City"
"Miami Beach,FL,City","Miami Beach,FL","Miami Beach","FL","jul_25","City"
"Miami,FL,City","Miami,FL","Miami","FL","jul_25","City"
"Middletown,OH,City","Middletown,OH","Middletown","OH","jul_25","City"
"Midwest City,OK,City","Midwest City,OK","Midwest City","OK","jul_25","City"
"Milford,CT,City","Milford,CT","Milford","CT","jul_25","City"
"Millcreek,PA,City","Millcreek,PA","Millcreek","PA","jul_25","City"
"Milpitas,CA,City","Milpitas,CA","Milpitas","CA","jul_25","City"
"Milwaukee,WI,City","Milwaukee,WI","Milwaukee","WI","jul_25","City"
"Minneapolis,MN,City","Minneapolis,MN","Minneapolis","MN","jul_25","City"
"Minnetonka,MN,City","Minnetonka,MN","Minnetonka","MN","jul_25","City"
"Mission Viejo,CA,City","Mission Viejo,CA","Mission Viejo","CA","jul_25","City"
"Missoula,MT,City","Missoula,MT","Missoula","MT","jul_25","City"
"Missouri City,TX,City","Missouri City,TX","Missouri City","TX","jul_25","City"
"Mobile,AL,City","Mobile,AL","Mobile","AL","jul_25","City"
"Monterey Park,CA,City","Monterey Park,CA","Monterey Park","CA","jul_25","City"
"Monterey,CA,County","Monterey,CA","Monterey","CA","jul_25","County"
"Montgomery,MD,County","Montgomery,MD","Montgomery","MD","jul_25","County"
"Montgomery,TX,County","Montgomery,TX","Montgomery","TX","jul_25","County"
