"","pds","Total","Note"
"84","Salt Lake City",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
"85","Southaven",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"86","St. Paul",3,"Burglary_pri8 | MVT_pri8 | MVT_pri1"
"87","TN, Full Sample",3,"Burglary_pri8 | Burglary_pri1 | MVT_pri1"
"88","UT, Full Sample",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
"89","Waco",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"90","West Chester Township",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"91","Yuma",3,"Burglary_pri8 | Theft_pri8 | Burglary_pri1"
"92","Baltimore",2,"Burglary_pri8 | MVT_pri1"
"93","Baton Rouge",2,"Burglary_pri8 | Burglary_pri1"
"94","Bellevue",2,"Theft_pri1 | MVT_pri1"
"95","Brockton",2,"Theft_pri8 | Theft_pri1"
"96","Brownsville",2,"Theft_pri8 | Theft_pri1"
"97","Casa Grande",2,"Theft_pri8 | Theft_pri1"
"98","Chula Vista",2,"Theft_pri8 | Theft_pri1"
"99","Cincinnati",2,"Burglary_pri8 | MVT_pri1"
"100","Corvallis",2,"Theft_pri8 | Theft_pri1"
"101","Detroit",2,"Robbery_pri8 | Burglary_pri8"
"102","Dublin",2,"Theft_pri8 | Theft_pri1"
"103","Euclid",2,"Theft_pri8 | Theft_pri1"
"104","Flagstaff",2,"Burglary_pri8 | Burglary_pri1"
"105","Grand Rapids",2,"Theft_pri1 | MVT_pri1"
"106","Gresham",2,"Theft_pri8 | Theft_pri1"
"107","Harrisburg",2,"Agg.Assault_pri8 | Agg.Assault_pri1"
"108","IL, Full Sample",2,"Robbery_pri1 | MVT_pri1"
"109","Knoxville",2,"Burglary_pri8 | Theft_pri8"
"110","Marana",2,"Theft_pri8 | Theft_pri1"
"111","MD, Full Sample",2,"Burglary_pri8 | MVT_pri1"
"112","Milpitas",2,"Theft_pri8 | Theft_pri1"
"113","Nampa",2,"Theft_pri8 | Theft_pri1"
"114","New Britain",2,"Theft_pri8 | Theft_pri1"
"115","New Haven",2,"Agg.Assault_pri8 | MVT_pri1"
"116","Norfolk",2,"Burglary_pri8 | MVT_pri1"
"117","Odessa",2,"Agg.Assault_pri8 | Theft_pri8"
"118","Plano",2,"Burglary_pri8 | Theft_pri8"
"119","Redlands",2,"Theft_pri8 | Theft_pri1"
"120","Salem",2,"Theft_pri8 | Theft_pri1"
"121","San Bernardino",2,"Agg.Assault_pri8 | Burglary_pri8"
"122","Scottsdale",2,"Theft_pri8 | Theft_pri1"
"123","Sioux Falls",2,"Theft_pri8 | MVT_pri1"
"124","St Charles",2,"Theft_pri8 | Agg.Assault_pri1"
"125","St Joseph",2,"Theft_pri8 | MVT_pri8"
"126","Surprise",2,"Theft_pri8 | Theft_pri1"
"127","Tucson",2,"Robbery_pri8 | Theft_pri8"
"128","Twin Falls",2,"Theft_pri8 | Theft_pri1"
"129","Virginia Beach",2,"Theft_pri8 | Theft_pri1"
"130","Worcester",2,"Burglary_pri8 | Burglary_pri1"
"131","Abilene",1,"Theft_pri8"
"132","Akron",1,"Burglary_pri8"
"133","Alexandria",1,"Theft_pri1"
"134","Allen",1,"Theft_pri8"
"135","AR, Full Sample",1,"MVT_pri8"
"136","Arlington",1,"Theft_pri8"
"137","Avondale",1,"Theft_pri8"
"138","Baytown",1,"Theft_pri8"
"139","Beaverton",1,"Theft_pri8"
"140","Blaine",1,"Theft_pri8"
"141","Bridgeport",1,"Burglary_pri8"
"142","Buckeye",1,"Theft_pri8"
"143","Burbank",1,"Theft_pri1"
"144","Burnsville",1,"Theft_pri8"
"145","Caldwell",1,"Theft_pri8"
"146","Canton",1,"Theft_pri8"
"147","Charlotte",1,"Burglary_pri8"
"148","Cleveland",1,"Theft_pri1"
"149","Des Plaines",1,"Theft_pri8"
"150","Duluth",1,"Theft_pri8"
"151","Fall River",1,"Burglary_pri8"
"152","Fort Wayne",1,"Burglary_pri8"
"153","Frisco",1,"Theft_pri1"
"154","GA, Full Sample",1,"Theft_pri8"
"155","Garland",1,"Theft_pri8"
"156","Henderson",1,"Theft_pri1"
"157","KY, Full Sample",1,"Burglary_pri8"
"158","Lancaster",1,"Theft_pri8"
"159","Lawrence",1,"MVT_pri8"
"160","Lewisville",1,"Theft_pri1"
"161","Little Rock",1,"MVT_pri8"
"162","Lorain",1,"Theft_pri8"
"163","Louisville",1,"Burglary_pri8"
"164","MA, Full Sample",1,"MVT_pri1"
"165","Manchester",1,"Burglary_pri8"
"166","Mcallen",1,"Burglary_pri1"
"167","Minneapolis",1,"MVT_pri1"
"168","Mission",1,"Theft_pri8"
"169","New Bedford",1,"Agg.Assault_pri8"
"170","Newport News",1,"Robbery_pri1"
"171","NH, Full Sample",1,"Burglary_pri8"
"172","NJ, Full Sample",1,"MVT_pri1"
"173","O'Fallon",1,"Theft_pri8"
"174","Pasadena",1,"MVT_pri1"
"175","Pearland",1,"Theft_pri1"
"176","Peoria",1,"Theft_pri8"
"177","Pharr",1,"Theft_pri8"
"178","Pocatello",1,"Theft_pri8"
"179","Port Arthur",1,"Burglary_pri8"
"180","Portsmouth",1,"Theft_pri8"
"181","Providence",1,"Burglary_pri8"
"182","Rapid City",1,"MVT_pri1"
"183","RI, Full Sample",1,"Burglary_pri8"
"184","Rochester",1,"Theft_pri8"
"185","Rockford",1,"Theft_pri8"
"186","San Angelo",1,"Theft_pri8"
"187","San Diego",1,"Burglary_pri8"
"188","Scranton",1,"Agg.Assault_pri8"
"189","South Bend",1,"Theft_pri8"
"190","Sparks",1,"Burglary_pri8"
