"date","agency_name","state_name","agency_full","agency_abbr","location_full","region","population","source_link","agency_num","source_type","source_method","most_recent_month","in_national_sample","Last Updated"
2025-06-01,"Bentonville","Arkansas","Bentonville, Arkansas","Bentonville, AR","Bentonville, Arkansas","South",59465,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Berkeley","California","Berkeley, California","Berkeley, CA","Berkeley, California","West",116595,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Berkeley County","South Carolina","Berkeley County, South Carolina","Berkeley County, SC","Berkeley County, South Carolina","South",142756,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bethlehem","Pennsylvania","Bethlehem, Pennsylvania","Bethlehem, PA","Bethlehem, Pennsylvania","Northeast",78606,"https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-02-01,"Bexar County","Texas","Bexar County, Texas","Bexar County, TX","Bexar County, Texas","South",438152,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","February 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bismarck","North Dakota","Bismarck, North Dakota","Bismarck, ND","Bismarck, North Dakota","Midwest",74802,"https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Blaine","Minnesota","Blaine, Minnesota","Blaine, MN","Blaine, Minnesota","Midwest",72384,"https://cde.state.mn.us/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bloomfield","New Jersey","Bloomfield, New Jersey","Bloomfield, NJ","Bloomfield, New Jersey","Northeast",53181,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-03-01,"Bloomington","Indiana","Bloomington, Indiana","Bloomington, IN","Bloomington, Indiana","Midwest",79130,"From IN",1,"State UCR","Provided by State UCR Program","March 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bloomington","Minnesota","Bloomington, Minnesota","Bloomington, MN","Bloomington, Minnesota","Midwest",86793,"https://cde.state.mn.us/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
