"agency_name","state_name","is_county","address","lat","long"
"Dublin","Ohio",FALSE,"Dublin, Ohio",40.0996009,-83.1135563
"Duluth","Minnesota",FALSE,"Duluth, Minnesota",46.7729322,-92.1251218
"Dunwoody","Georgia",FALSE,"Dunwoody, Georgia",33.9463786,-84.3342686
"Durham","North Carolina",FALSE,"Durham, North Carolina",35.996653,-78.9018053
"Eagan","Minnesota",FALSE,"Eagan, Minnesota",44.818173,-93.1659179
"East Hartford","Connecticut",FALSE,"East Hartford, Connecticut",41.767914,-72.644512
"Eden Prairie","Minnesota",FALSE,"Eden Prairie, Minnesota",44.8546856,-93.470786
"Edina","Minnesota",FALSE,"Edina, Minnesota",44.8897027,-93.3501222
"Edinburg","Texas",FALSE,"Edinburg, Texas",26.3013982,-98.1624501
"El Cajon","California",FALSE,"El Cajon, California",32.7947731,-116.962526
"El Paso County","Colorado",TRUE,"El Paso County, Colorado",38.8287435,-104.5253456
"El Paso","Texas",FALSE,"El Paso, Texas",31.7601164,-106.4870404
"El Paso County","Texas",TRUE,"El Paso County, Texas",31.8072184,-106.2230394
"Elyria","Ohio",FALSE,"Elyria, Ohio",41.3673191,-82.1073583
"Erie","Pennsylvania",FALSE,"Erie, Pennsylvania",42.1294712,-80.0852695
"Escondido","California",FALSE,"Escondido, California",33.1216751,-117.0814849
"Euclid","Ohio",FALSE,"Euclid, Ohio",41.5931049,-81.5267873
"Eugene","Oregon",FALSE,"Eugene, Oregon",44.0505054,-123.0950506
"Euless","Texas",FALSE,"Euless, Texas",32.8370727,-97.0819541
"Evanston","Illinois",FALSE,"Evanston, Illinois",42.0470043,-87.6846053
"Everett","Massachusetts",FALSE,"Everett, Massachusetts",42.40843,-71.0536625
"Fairfax County","Virginia",TRUE,"Fairfax County, Virginia",38.8156356,-77.2836849
"Fairfield","Connecticut",FALSE,"Fairfield, Connecticut",41.1412078,-73.2637258
"Fall River","Massachusetts",FALSE,"Fall River, Massachusetts",41.7010642,-71.1546367
"Fargo","North Dakota",FALSE,"Fargo, North Dakota",46.877229,-96.789821
"Farmington Hills","Michigan",FALSE,"Farmington Hills, Michigan",42.4853125,-83.3771553
"Fayetteville","North Carolina",FALSE,"Fayetteville, North Carolina",35.0525759,-78.878292
"Flagstaff","Arizona",FALSE,"Flagstaff, Arizona",35.1987522,-111.651822
"Flint","Michigan",FALSE,"Flint, Michigan",43.0161693,-83.6900211
"Florissant","Missouri",FALSE,"Florissant, Missouri",38.7919683,-90.3227803
"Flower Mound","Texas",FALSE,"Flower Mound, Texas",33.0283854,-97.0867203
"Fort Bend County","Texas",TRUE,"Fort Bend County, Texas",29.511218,-95.7807348
"Fort Collins","Colorado",FALSE,"Fort Collins, Colorado",40.5871782,-105.0770113
"Fort Wayne","Indiana",FALSE,"Fort Wayne, Indiana",41.0799898,-85.1386015
"Fort Worth","Texas",FALSE,"Fort Worth, Texas",32.753177,-97.3327459
"Framingham","Massachusetts",FALSE,"Framingham, Massachusetts",42.2773177,-71.4165905
"Fremont","California",FALSE,"Fremont, California",37.5482697,-121.988571
"Frisco","Texas",FALSE,"Frisco, Texas",33.1505998,-96.8238183
"Galveston","Texas",FALSE,"Galveston, Texas",29.3872254,-94.992736
"Garland","Texas",FALSE,"Garland, Texas",32.912624,-96.6388833
"Georgetown","Texas",FALSE,"Georgetown, Texas",30.6370152,-97.6775634
"Gilbert","Arizona",FALSE,"Gilbert, Arizona",33.3527632,-111.789037
"Glendale","Arizona",FALSE,"Glendale, Arizona",33.5386858,-112.185994
"Glendale","California",FALSE,"Glendale, California",34.1469416,-118.2478471
"Goodyear","Arizona",FALSE,"Goodyear, Arizona",33.4674695,-112.3842224
"Grand Forks","North Dakota",FALSE,"Grand Forks, North Dakota",47.9252104,-97.0306325
"Grand Island","Nebraska",FALSE,"Grand Island, Nebraska",40.924271,-98.338685
